Interval,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12,13
20170809135350,70.49944,-162.5610633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809135855,70.4997017,-162.53614819999999,0.0,0.0,0.33826384508269863,2.029583070499195,1.623666456399863,0.13530553803307366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809140404,70.5000567,-162.511294,0.0,0.0,0.2978682413689712,1.7872094482159853,1.4297675585728347,0.11914729654765555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809140935,70.50002740000001,-162.48566730000002,0.0,0.0,0.44848103863149813,2.6908862317861373,2.152708985430729,0.17939241545247622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809141442,70.4999947,-162.459707,0.0,0.0,0.35902665941701867,2.1541599565010654,1.723327965200679,0.14361066376694187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809141821,70.50036340000001,-162.43480730000002,0.0,0.0,0.322822669405684,1.9369360164360867,1.5495488131454873,0.12912906776222105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809142139,70.5004084,-162.4097726,0.0,0.0,0.3161808124011051,1.897084874407855,1.5176678995267507,0.1264723249607569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809142459,70.500485,-162.3848428,0.0,0.0,0.43410235739195613,2.6046141443524364,2.0836913154811327,0.1736409429568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809142817,70.500499,-162.35986680000002,0.0,0.0,0.43535019978941686,2.6121011987382445,2.08968095899066,0.1741400799156799,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809143134,70.5004967,-162.3349137,0.0,0.0,0.2915316347735027,1.74918980863874,1.3993518469108182,0.11661265390942438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809143454,70.5006551,-162.30989619999997,0.0,0.0,0.22111661990354542,1.3266997194205727,1.061359775536225,0.08844664796148816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809143813,70.5006932,-162.2849573,0.0,0.0,0.07424214291698747,0.4454528575020409,0.35636228600163156,0.02969685716678339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809144130,70.50073499999999,-162.2599617,0.0,0.0,0.02763277168192093,0.16579663009149645,0.1326373040729056,0.01105310867276254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809144446,70.5007547,-162.2350181,0.0,0.0,0.053923181025824635,0.1470632209792752,0.034314751561843715,0.004902107365981963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809144803,70.50064640000001,-162.2099852,0.0,0.0,0.03356651515338039,0.09154504132741323,0.02136050964307456,0.0030515013775814135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809145119,70.5008833,-162.18509,0.0,0.0,0.009102772194058492,0.024825742347433052,0.005792673214399004,0.000827524744915018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809145433,70.50106729999999,-162.159992,0.0,0.0,0.006925261070659704,0.01888707564720762,0.004406984317683527,0.0006295691882391461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809145747,70.5011145,-162.1349783,0.0,0.0,0.008889362136686623,0.024243714918257185,0.0056568668142609815,0.0008081238306098363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809150059,70.50114350000001,-162.110102,0.0,0.0,0.001427058809846777,0.0038919785723046775,0.0009081283335403265,0.00012973261907687212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809150410,70.5011482,-162.0850271,0.0,0.0,0.0021523248735124947,0.005869976927759494,0.0013696612831452426,0.00019566589759188594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809150722,70.50119190000001,-162.05997040000003,0.0,0.0,0.0068787444756676554,0.01876021220638041,0.004377382848137236,0.000625340406879831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809151032,70.5012822,-162.0350788,0.0,0.0,0.005866688715148587,0.016000060132269008,0.003733347364190659,0.0005333353377409106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809151340,70.5014458,-162.01026940000003,0.0,0.0,0.00493893524860725,0.013469823405276065,0.003142958794562763,0.0004489941135083664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809151649,70.5015857,-161.98536409999997,0.0,0.0,0.0057188778257758815,0.01559693952488466,0.0036392858891374225,0.0005198979841630261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809152001,70.5014067,-161.9602735,0.0,0.0,0.020781333980279097,0.056676365400837515,0.01322448526016568,0.001889212180025001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
