Latitude,Longitude,0.5-1.5 cm,1.5-2.5 cm,2.5-3.5 cm,3.5-4.5 cm,4.5-5.5 cm,5.5-6.5 cm,6.5-7.5 cm,7.5-8.5 cm,8.5-9.5 cm,9.5-10.5 cm,10.5-11.5 cm,11.5-12.5 cm,12.5-13.5 cm,13.5-14.5 cm,14.5-15.5 cm,15.5-16.5 cm,16.5-17.5 cm,17.5-18.5 cm,18.5-19.5 cm,19.5-20.5 cm,20.5-21.5 cm,21.5-22.5 cm,22.5-23.5 cm,23.5-24.5 cm,24.5-25.5 cm,25.5-26.5 cm,26.5-27.5 cm,27.5-28.5 cm,28.5-29.5 cm,29.5-30.5 cm
65.513,-168.32,0,0,0,0,0.005417,0,0,0,0,0,0,8.7268e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.522,-168.33,0,0,0,0,0.017176,0,0,0,0,0,0,0.0002767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.53,-168.33,0,0,0,0,0.010829,0,0,0,0,0,0,0.00017445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.538,-168.34,0,0,0,0,0.0046303,0,0,0,0,0,0,7.4595e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.546,-168.34,0,0,0,0,0.0057267,0,0,0,0,0,0,9.2258e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.554,-168.34,0,0,0,0,0.0056854,0,0,0,0,0,0,9.1592e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.562,-168.35,0,0,0,0,0.0098379,0,0,0,0,0,0,0.00015849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.571,-168.35,0,0,0,0,0.0047044,0,0,0,0,0,0,7.5789e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.579,-168.36,0,0,0,0,0.0047693,0,0,0,0,0,0,7.6834e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.587,-168.36,0,0,0,0,0.0061279,0,0,0,0,0,0,9.8721e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.595,-168.36,0,0,0,0,0.0047568,0,0,0,0,0,0,7.6632e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.603,-168.37,0,0,0,0,0.0058425,0,0,0,0,0,0,9.4123e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.611,-168.37,0,0,0,0,0.005431,0,0,0,0,0,0,8.7493e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.619,-168.38,0,0,0,0,0.020365,0,0,0,0,0,0,0.00032809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.628,-168.38,0,0,0,0,0.0084585,0,0,0,0,0,0,0.00013627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.636,-168.38,0,0,0,0,0.0034331,0,0,0,0,0,0,5.5307e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.644,-168.39,0,0,0,0,0.0051196,0,0,0,0,0,0,8.2477e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.652,-168.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.661,-168.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.669,-168.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.677,-168.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.685,-168.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.694,-168.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.702,-168.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.71,-168.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.719,-168.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.727,-168.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.735,-168.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.743,-168.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
