Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2),Pollock (No. m^-2)
66.043,-168.57,54.804,4.0635,0.55496,0,0,0.01781,0,0
66.035,-168.57,54.468,4.0422,0.31265,0,0,0.017717,0,0
66.027,-168.56,54.639,3.0132,0.022784,0,0,0.013207,0,0
66.019,-168.56,54.762,1.4204,0.016794,0,0,0.0062257,0,0
66.012,-168.55,54.59,2.7783,0.043315,0,0,0.012177,0,0
66.005,-168.54,54.494,1.8675,0.030147,0,0,0.0081852,0,0
66.001,-168.52,54.31,2.8261,0.12416,0,0,0.012387,0,0
66,-168.5,53.497,2.6716,0.002053,0,0,0.011709,0,0
66,-168.48,54.359,13.139,0.012068,1.2908e-06,2.9542e-06,0.012978,0.0026406,3.404e-05
66,-168.46,56.432,4.9687,0.010016,0,0,0.021778,0,0
66,-168.44,57.908,20.09,0.015794,1.7921e-06,4.1013e-06,0.027195,0.0036659,4.7257e-05
66,-168.42,56.706,4.8639,0.053312,0,0,0.021318,0,0
66,-168.4,56.193,7.4168,0.080887,0,0,0.032507,0,0
66,-168.38,55.205,43.863,0.21958,0,0,0.19225,0,0
66,-168.36,54.237,64.138,0.29973,0,0,0.28111,0,0
66,-168.33,53.985,104.42,0.028687,0,0,0.45766,0,0
66,-168.31,53.692,131.23,0.001798,0,0,0.57518,0,0
66,-168.29,53.095,94.449,2.5657,0,0,0.41397,0,0
66,-168.27,52.921,65.821,1.5329,0,0,0.28849,0,0
66,-168.25,52.325,32.076,1.0844,0,0,0.14059,0,0
66,-168.23,51.376,19.589,3.5323,0,0,0.08586,0,0
66,-168.21,50.09,12.077,2.9457,0,0,0.052932,0,0
66,-168.19,49.876,23.849,2.4088,8.5011e-07,1.9456e-06,0.074585,0.001739,2.2417e-05
66,-168.17,49.505,19.418,1.0613,0,0,0.085107,0,0
66,-168.15,48.063,49.686,0.90036,4.0749e-06,9.326e-06,0.070151,0.0083359,0.00010746
66,-168.13,46.159,16.427,0.54316,0,0,0.071999,0,0
66,-168.11,42.722,46.025,0.46633,3.5481e-06,8.1203e-06,0.073694,0.0072582,9.3565e-05
66,-168.09,40.959,9.8184,0.052143,0,0,0.043034,0,0
66,-168.07,39.595,8.2503,0.33983,0,0,0.036161,0,0
66,-168.05,37.322,7.2654,0.83922,0,0,0.031844,0,0
66,-168.03,35.925,5.5906,0.16133,0,0,0.024504,0,0
66,-168.01,34.156,7.6059,0.10356,0,0,0.033336,0,0
66,-167.99,31.652,5.6047,0.001078,0,0,0.024565,0,0
66,-167.97,28.444,279.97,0.10008,2.9587e-05,6.7714e-05,0.078381,0.060525,0.00078023
66,-167.95,25.448,7.1699,0.022934,6.2385e-07,1.4278e-06,0.0057854,0.0012762,1.6451e-05
66,-167.93,22.35,6.6903,0.022205,7.0389e-07,1.6109e-06,8.0542e-07,0.0014399,1.8562e-05
66,-167.9,18.587,6.0369,0.12322,6.2586e-07,1.4324e-06,7.1614e-07,0.0012803,1.6504e-05
66,-167.9,19.135,16.074,0.1663,1.6623e-06,3.8043e-06,1.9021e-06,0.0034005,4.3835e-05
66,-167.92,22.736,11.681,0.88602,1.2233e-06,2.7996e-06,1.3997e-06,0.0025024,3.2258e-05
66,-167.92,21.324,15.589,0.03033,1.591e-06,3.6413e-06,1.8205e-06,0.0032547,4.1956e-05
66,-167.9,16.385,2.2521,0.03596,2.28e-07,5.2181e-07,2.6089e-07,0.00046641,6.0125e-06
66,-167.88,11.548,1.7612,0.032069,1.7096e-07,3.9127e-07,1.9562e-07,0.00034973,4.5083e-06
66,-167.86,10.199,0.57281,0.20367,5.4347e-08,1.2438e-07,6.2186e-08,0.00011117,1.4331e-06
66,-167.84,10.223,0.49948,0.046954,4.7389e-08,1.0846e-07,5.4225e-08,9.6941e-05,1.2497e-06
66,-167.81,10.589,0.89992,4.2394,8.5474e-08,1.9562e-07,9.7803e-08,0.00017485,2.254e-06
66,-167.79,11.24,1.103,0.068425,1.0799e-07,2.4716e-07,1.2357e-07,0.00022092,2.8478e-06
66,-167.77,11.969,2.1236,0.037318,2.0572e-07,4.7081e-07,2.3539e-07,0.00042083,5.4249e-06
66,-167.75,12.962,2.3561,0.051365,2.2596e-07,5.1714e-07,2.5856e-07,0.00046224,5.9586e-06
66.001,-167.73,14.163,1.6273,0.60695,1.5758e-07,3.6064e-07,1.8031e-07,0.00032235,4.1554e-06
