,profile_id,latitude,longitude,time,TrackRadius,Year,Depth_max,S_max,S_min,S_surf,S_bot,S_mean,T_min,T_max,T_surf,T_bot,T_mean,MLD,Unnamed: 0,MAST_Station,Station,Gear,Depth.bot,Water.surf,Water.bot,meanSa,meanAcod,meanPol,meanCap
10,os1701l2c073_ctd,72.0,201.2,2017-09-01 21:29:24+00:00,14.904199876881625,2017,47.503091452285034,32.3625,29.3758,29.37632727272727,32.3122,30.83753469387755,-0.8181,3.9599,3.8818272727272727,-0.4371333333333333,1.6231632653061232,0.0,,,,,,,,,5.133772295768336,0.5572514286681852,0.0007417772152427104
11,os1701l2c075_ctd,72.0,199.6,2017-09-02 03:15:41+00:00,14.904199876881625,2017,35.62835913830628,32.4313,30.1272,30.12948181818182,32.42823333333333,30.95246216216216,0.3599,4.5775,4.076418181818181,0.7978333333333333,3.030705405405406,0.0,,,,,,,,,7.052803181606962,1.1092790296284107,0.25223004162781587
12,os1701l2c076_ctd,72.0,198.0,2017-09-02 15:12:06+00:00,14.904199876881625,2017,26.72185344116641,31.6799,30.7039,30.705181818181813,31.32246666666667,30.844610714285718,2.8975,4.2701,4.204045454545454,3.704216666666667,4.111371428571428,0.0,,,,,,,,,1.862138918843725,0.8101786166719203,0.0027649181372393383
13,os1701l2c078_ctd,72.0,196.3,2017-09-02 22:04:26+00:00,14.904199876881888,2017,35.62835816076732,32.5309,30.9981,31.003190909090904,32.34693333333333,31.467327027027032,1.0808,6.0239,4.546,1.4864333333333333,4.277427027027027,0.0,,,,,,,,27.45027161363636,3.5765439183087104,0.3701633511190158,0.001044600357798986
14,os1701l2c079_ctd,72.0,194.7,2017-09-03 14:18:49+00:00,14.904199876881625,2017,37.607520710487435,32.6962,31.765,31.765827272727268,32.68555,31.982448717948717,3.4945,5.2565,5.216190909090908,3.5465,4.864702564102562,0.0,,,,,,,,42.20760216071428,3.75585173566624,0.2573130646506964,0.0006180178634701215
15,os1701l2c080_ctd,72.0,193.1,2017-09-03 18:53:10+00:00,14.904199876881625,2017,42.55536859911535,32.663,32.1665,32.16841818181818,32.65846666666666,32.32557727272727,2.7197,5.6198,5.619081818181818,2.9070666666666667,4.729415909090909,0.0,,,,,,,,67.11013535860059,6.906829434366582,1.8717647581496968,0.0061168782946066326
16,os1701l2c082_ctd,72.0,191.5,2017-09-04 02:32:18+00:00,14.904199876881625,2017,45.523986379052396,32.8551,31.9963,31.99650909090909,32.85196666666666,32.3834914893617,3.1647,6.2547,6.253281818181819,3.1810666666666667,5.02057021276596,0.0,,,,,,,,38.64894098397436,5.338456694573678,1.4467325708221512,0.0047278842183721735
17,os1701l2c083_ctd,71.5,191.5,2017-09-04 14:24:54+00:00,15.061745232476515,2017,42.556521017802616,32.5272,32.2264,32.2265090909091,32.512433333333334,32.30715227272728,0.8238,6.0729,6.015872727272727,1.0695333333333332,4.470911363636365,0.0,,,,,,,,72.1934849102564,10.244317329892494,1.632739848294231,0.06834147005661362
18,os1701l2c085_ctd,71.5,193.1,2017-09-04 21:05:12+00:00,14.347229401944084,2017,41.56695344646027,32.6784,32.2042,32.20813636363636,32.66896666666667,32.337346511627906,3.8884,6.1889,6.182300000000001,3.922116666666667,5.536727906976744,0.0,,,,,,,,107.78750312500001,4.976170801786703,1.9853956260922794,0.010585135579108356
19,os1701l2c087_ctd,71.5,194.6,2017-09-05 14:07:58+00:00,14.347229401944084,2017,37.60855993599708,32.6725,31.9751,31.98213636363636,32.57801666666666,32.07922051282051,2.8558,5.833,5.826354545454546,3.104866666666666,5.312025641025639,0.0,,,,,,,,50.326300464646465,5.570417757955891,1.8617844198590834,0.0
20,os1701l2c088_ctd,71.5,196.2,2017-09-05 20:28:24+00:00,15.09209320580382,2017,37.60856411995791,32.1873,31.4449,31.445172727272723,32.16376666666667,31.63668974358975,0.6113,5.2412,5.2389636363636365,0.6378333333333334,4.234005128205128,0.0,,,,,,,,39.79778251660517,4.785070787587514,1.2527628641190505,0.0006019992546576337
21,os1701l2c091_ctd,71.5,197.8,2017-09-06 14:08:49+00:00,15.180394595395683,2017,38.598169519843054,32.1498,31.1734,31.175209090909092,32.14428333333333,31.505287499999998,0.4247,5.0438,5.019918181818183,0.4249833333333333,3.3749575000000007,0.0,,,,,,,,78.76337930638297,6.016492557625043,1.4387572255996586,0.0018856582248962758
