,Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2),Pollock (No. m^-2)
46,66.0,-167.92,22.736,11.681,0.88602,1.0644e-06,2.8018e-06,1.4008000000000002e-06,0.0025046,3.86624e-05
47,66.0,-167.92,21.324,15.589,0.030330000000000003,1.3843e-06,3.6439999999999998e-06,1.8219e-06,0.0032576000000000003,2.97257e-05
48,66.0,-167.92,21.324,15.589,0.030330000000000003,1.3843e-06,3.6439999999999998e-06,1.8219e-06,0.0032576000000000003,3.86624e-05
49,66.0,-167.88,11.548,1.7612,0.032069,1.4874e-07,3.9155000000000004e-07,1.9576e-07,0.00035002,4.15424e-06
50,66.0,-167.86,10.199,0.57281,0.20367000000000002,4.7283e-08,1.2447e-07,6.223e-08,0.00011127,1.3205400000000002e-06
51,66.0,-167.84,10.222999999999999,0.49948000000000004,0.046954,4.1229e-08,1.0852999999999999e-07,5.4263e-08,9.7021e-05,1.15148e-06
52,66.0,-167.81,10.589,0.89992,4.2394,7.4364e-08,1.9575e-07,9.7872e-08,0.00017499,2.07692e-06
53,66.0,-167.79,11.24,1.103,0.068425,9.396e-08,2.4734000000000004e-07,1.2365999999999998e-07,0.00022111,2.6242000000000002e-06
54,66.0,-167.77,11.969000000000001,2.1236,0.037318000000000004,1.7898e-07,4.7115000000000003e-07,2.3555999999999997e-07,0.00042118,4.9987300000000005e-06
55,66.0,-167.75,12.962,2.3561,0.051365,1.9659000000000002e-07,5.175e-07,2.5874e-07,0.00046262,5.4905900000000006e-06
56,66.001,-167.73,14.163,1.6273,0.60695,1.371e-07,3.609e-07,1.8044e-07,0.00032262,3.8290300000000005e-06
57,66.001,-167.71,15.328,6.778,0.29207,5.6829e-07,1.496e-06,7.4794e-07,0.0013373,1.58716e-05
58,66.0,-167.69,16.403,7.3852,0.035477,6.437000000000001e-07,1.6944999999999998e-06,8.4719e-07,0.0015148,1.79777e-05
59,66.0,-167.67,17.419,15.241,0.86056,1.3584e-06,3.5757e-06,1.7878e-06,0.0031965,3.79376e-05
60,66.0,-167.65,18.292,7.9816,0.62821,6.962100000000001e-07,1.8327e-06,9.1629e-07,0.0016382999999999999,1.94443e-05
61,66.0,-167.63,18.989,5.5201,0.068655,4.9221e-07,1.2957e-06,6.4781e-07,0.0011583,1.3746799999999999e-05
62,66.0,-167.61,19.247,28.156,1.7364,2.4892e-06,6.5524e-06,3.276e-06,0.0058575,6.95193e-05
63,66.0,-167.59,19.452,7.5558,0.026361000000000002,6.7955e-07,1.7888e-06,8.943700000000001e-07,0.0015991,1.8979100000000003e-05
64,66.0,-167.57,19.56,156.96,0.33842,1.3743e-05,3.6176e-05,1.8087e-05,0.03234,0.000383817
65,66.0,-167.55,19.532,3.2826,0.18835,2.9322e-07,7.7186e-07,3.8591e-07,0.0006900000000000001,8.189100000000001e-06
66,66.0,-167.53,19.515,7.421,0.1105,6.551300000000001e-07,1.7245e-06,8.622200000000001e-07,0.0015416,1.82964e-05
67,66.0,-167.51,19.430999999999997,11.481,0.030032,1.0329e-06,2.7189e-06,1.3594e-06,0.0024305999999999998,2.88471e-05
68,66.0,-167.49,19.269000000000002,5.2781,0.21825,4.7227e-07,1.2432e-06,6.215699999999999e-07,0.0011114,1.31899e-05
69,66.0,-167.47,19.032,7.1548,0.009265,6.3521e-07,1.6721e-06,8.3601e-07,0.0014948000000000001,1.77401e-05
70,66.0,-167.45,18.747,45.684,0.042443,4.1588e-06,1.0948e-05,5.4735e-06,0.0097865,0.00011615099999999999
71,66.0,-167.43,18.444000000000003,65.313,0.055788,5.9251e-06,1.5597e-05,7.798099999999999e-06,0.013943,0.000165479
72,66.0,-167.41,18.055,4.6148,0.17012,4.1104e-07,1.082e-06,5.4097e-07,0.00096725,1.14797e-05
73,66.0,-167.38,17.598,4.0615,0.1302,3.6104999999999997e-07,9.504200000000001e-07,4.7518e-07,0.00084962,1.00836e-05
74,66.0,-167.36,17.123,5.9719,1.1513,5.270600000000001e-07,1.3874e-06,6.9368e-07,0.0012403,1.47202e-05
75,66.0,-167.34,16.663,5.0271,0.26600999999999997,4.4815e-07,1.1797e-06,5.8982e-07,0.0010546,1.25162e-05
76,66.0,-167.32,16.17,2.7582,0.08122599999999999,2.4538e-07,6.4594e-07,3.2295e-07,0.00057744,6.853200000000001e-06
77,66.0,-167.3,15.671,1.5065,0.24854,1.3245999999999998e-07,3.4869e-07,1.7434e-07,0.00031171,3.69947e-06
78,66.0,-167.28,15.244000000000002,1.7301,0.12584,1.466e-07,3.8591e-07,1.9294e-07,0.00034498,4.09442e-06
79,66.003,-167.28,15.357999999999999,0.64479,0.18069000000000002,5.6348e-08,1.4833e-07,7.416000000000001e-08,0.0001326,1.5737200000000002e-06
80,66.01,-167.29,16.038,3.8674,1.5767,3.4051e-07,8.9634e-07,4.4815e-07,0.00080128,9.5099e-06
81,66.016,-167.3,16.649,4.4892,0.32911,3.9853e-07,1.0491e-06,5.245199999999999e-07,0.00093783,1.1130499999999998e-05
82,66.023,-167.31,17.28,3.8782,0.35125,3.4211e-07,9.005500000000001e-07,4.5025e-07,0.00080505,9.5546e-06
83,66.03,-167.32,17.884,7.6777,0.008003,6.835800000000001e-07,1.7993999999999999e-06,8.996700000000002e-07,0.0016086,1.90917e-05
84,66.036,-167.34,18.577,5.1975,0.062837,4.6656000000000007e-07,1.2282e-06,6.1404e-07,0.0010979000000000002,1.30303e-05
85,66.043,-167.35,19.332,3.3307,0.0010220000000000001,2.9920000000000003e-07,7.8761e-07,3.9378e-07,0.00070408,8.3562e-06
86,66.04899999999999,-167.36,19.61,12.698,0.08898400000000001,1.1214e-06,2.9519e-06,1.4759000000000001e-06,0.0026388,3.13186e-05
87,66.14699999999999,-167.41,23.453000000000003,10.772,0.06714500000000001,9.8159e-07,2.5839e-06,1.2919e-06,0.0023099,2.74142e-05
88,66.154,-167.4,23.62,850.64,0.013491,8.0442e-05,0.00021175,0.00010587,0.1893,0.0022465999999999996
89,66.16199999999999,-167.39,23.82,76.661,0.5673,6.921900000000001e-06,1.8221e-05,9.1101e-06,0.016288999999999998,0.00019331600000000002
