,Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2),Pollock (No. m^-2)
0,65.404,-168.01,39.909,0.38274,0.12361,0.0,6.0286e-06,0.00029434,0.0,0.0
1,65.41,-168.02,41.339,2.0772,0.22855999999999999,0.0,3.2718e-05,0.0015974000000000001,0.0,0.0
2,65.415,-168.02,42.086000000000006,2.5289,0.066174,0.0,3.9832e-05,0.0019448,0.0,0.0
3,65.419,-168.03,42.592,3.0588,0.0373,0.0,4.8178999999999994e-05,0.0023523000000000003,0.0,0.0
4,65.343,-168.15,47.841,9.9775,0.69895,0.0,0.00015716,0.007673,0.0,0.0
5,65.348,-168.16,49.876999999999995,10.682,1.0467,0.0,0.00016826,0.008215,0.0,0.0
6,65.35600000000001,-168.17,51.504,15.512,0.85265,0.0,0.00024433,0.011929,0.0,0.0
7,65.36399999999999,-168.17,50.821000000000005,11.34,1.0459,0.0,0.00017861,0.0087204,0.0,0.0
8,65.372,-168.18,51.386,12.325,1.1696,0.0,0.00019414,0.0094784,0.0,0.0
9,65.38,-168.18,52.7,13.481,1.2987,0.0,0.00021233,0.010367,0.0,0.0
10,65.388,-168.19,52.293,13.92,1.4682,0.0,0.00021925,0.010705,0.0,0.0
11,65.396,-168.19,45.415,9.792,0.48503,0.0,0.00015424,0.007530299999999999,0.0,0.0
12,65.404,-168.2,48.045,10.850999999999999,0.64971,0.0,0.00017091,0.0083445,0.0,0.0
13,65.411,-168.21,54.227,13.600999999999999,0.34064,0.0,0.00021424,0.010459999999999999,0.0,0.0
14,65.418,-168.22,56.02,18.468,0.7298899999999999,0.0,0.00029089,0.014203,0.0,0.0
15,65.425,-168.23,57.744,18.234,2.3518,0.0,0.00028721,0.014022999999999999,0.0,0.0
16,65.431,-168.25,58.278,10.292,1.8863,0.0,0.00016211,0.0079148,0.0,0.0
17,65.438,-168.26,55.754,13.027999999999999,4.734,0.0,0.00020521,0.010019,0.0,0.0
18,65.444,-168.27,53.873999999999995,10.767999999999999,5.3931,0.0,0.00016961,0.0082808,0.0,0.0
19,65.45,-168.28,54.4,172.91,3.7510000000000003,0.0,0.0019649,0.0076684,0.03365,0.0
20,65.456,-168.3,56.098,14.405,1.5190000000000001,0.0,0.0002269,0.011078,0.0,0.0
21,65.464,-168.3,57.336999999999996,23.112,1.9529,0.0,0.00036403,0.017773,0.0,0.0
22,65.472,-168.31,58.113,8.0758,0.5657,0.0,0.0001272,0.0062105,0.0,0.0
23,65.48100000000001,-168.31,57.847,8.9357,0.64023,0.0,0.00014075,0.0068718,0.0,0.0
24,65.48899999999999,-168.31,55.799,52.042,0.28046,0.0,0.00081972,0.040022,0.0,0.0
25,65.497,-168.32,55.34,8.0105,0.08856,0.0,0.00012617,0.0061603000000000005,0.0,0.0
26,65.505,-168.32,55.483999999999995,8.8009,0.28298,0.0,0.00013862,0.0067681,0.0,0.0
27,65.513,-168.32,51.552,5.6268,0.10645,0.0,8.862799999999999e-05,0.0043271,0.0,0.0
28,65.52199999999999,-168.33,47.251000000000005,17.840999999999998,0.54584,0.0,0.00028101,0.01372,0.0,0.0
29,65.53,-168.33,46.981,11.248,0.28355,0.0,0.00017717,0.00865,0.0,0.0
