Interval,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12,13
20170809135350,70.49944,-162.5610633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09329345473839504,0.0,0.06219563649227209,0.0,0.06219563649227209,0.0
20170809135855,70.4997017,-162.53614819999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0004250093414378149,0.0004250093414378149,0.0004250093414378149,0.0012750280243142905,0.0,0.0,0.0
20170809140404,70.5000567,-162.511294,0.0,0.0,0.0,0.0,0.0,0.0,0.0003742545558438954,0.0003742545558438954,0.0003742545558438954,0.0011227636675320942,0.0,0.0,0.0
20170809140935,70.50002740000001,-162.48566730000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0005634909957028447,0.0005634909957028447,0.0005634909957028447,0.0016904729871082106,0.0,0.0,0.0
20170809141442,70.4999947,-162.459707,0.0,0.0,0.0,0.0,0.0,0.0,0.00045109664037582686,0.00045109664037582686,0.00045109664037582686,0.0013532899211259088,0.0,0.0,0.0
20170809141821,70.50036340000001,-162.43480730000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0004056083797301712,0.0004056083797301712,0.0004056083797301712,0.0012168251391903389,0.0,0.0,0.0
20170809142139,70.5004084,-162.4097726,0.0,0.0,0.0,0.0,0.0,0.0,0.00039726326300403746,0.00039726326300403746,0.00039726326300403746,0.0011917897890125495,0.0,0.0,0.0
20170809142459,70.500485,-162.3848428,0.0,0.0,0.0,0.0,0.0,0.0,0.0005454249980116645,0.0005454249980116645,0.0005454249980116645,0.0016362749940351101,0.0,0.0,0.0
20170809142817,70.500499,-162.35986680000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0005469928412314922,0.0005469928412314922,0.0005469928412314922,0.0016409785236909807,0.0,0.0,0.0
20170809143134,70.5004967,-162.3349137,0.0,0.0,0.0,0.0,0.0,0.0,0.0003662929689480315,0.0003662929689480315,0.0003662929689480315,0.0010988789068446774,0.0,0.0,0.0
20170809143454,70.5006551,-162.30989619999997,0.0,0.0,0.0,0.0,0.0,0.0,0.00027782049536867503,0.00027782049536867503,0.00027782049536867503,0.0008334614861054158,0.0,0.0,0.0
20170809143813,70.5006932,-162.2849573,0.0,0.0,0.0,0.0,0.0,0.0,9.328104296914753e-05,9.328104296914753e-05,9.328104296914753e-05,0.0002798431289072668,0.0,0.0,0.0
20170809144130,70.50073499999999,-162.2599617,0.0,0.0,0.0,0.0,0.0,0.0,3.471901081170644e-05,3.471901081170644e-05,3.471901081170644e-05,0.00010415703243503182,0.0,0.0,0.0
20170809144446,70.5007547,-162.2350181,0.0,0.0,0.0,0.0,0.0,0.0,0.0048667172103504935,0.007300075815521368,0.0016222390701161023,0.0016222390701161023,0.0008111195350602234,0.0,0.0
20170809144803,70.50064640000001,-162.2099852,0.0,0.0,0.0,0.0,0.0,0.0,0.0030294714421701015,0.004544207163254132,0.001009823814057099,0.001009823814057099,0.0005049119070281267,0.0,0.0
20170809145119,70.5008833,-162.18509,0.0,0.0,0.0,0.0,0.0,0.0,0.0008215505327396919,0.0012323257991092463,0.0002738501775800431,0.0002738501775800431,0.00013692508878986119,0.0,0.0
20170809145433,70.50106729999999,-162.159992,0.0,0.0,0.0,0.0,0.0,0.0,0.0006250240916333519,0.0009375361374516605,0.00020834136387823098,0.00020834136387823098,0.0001041706819391155,0.0,0.0
20170809145747,70.5011145,-162.1349783,0.0,0.0,0.0,0.0,0.0,0.0,0.0008022896809272213,0.001203434521390103,0.00026742989364206694,0.00026742989364206694,0.00013371494682104802,0.0,0.0
20170809150059,70.50114350000001,-162.110102,0.0,0.0,0.0,0.0,0.0,0.0,0.0001287960305374378,0.00019319404580599633,4.293201017908198e-05,4.293201017908198e-05,2.146600508954099e-05,0.0,0.0
20170809150410,70.5011482,-162.0850271,0.0,0.0,0.0,0.0,0.0,0.0,0.00019425331193234562,0.00029137996789880996,6.475110397748742e-05,6.475110397748742e-05,3.237555198874371e-05,0.0,0.0
20170809150722,70.50119190000001,-162.05997040000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0006208258394338238,0.0009312387591525012,0.00020694194647807634,0.00020694194647807634,0.00010347097323909649,0.0,0.0
20170809151032,70.5012822,-162.0350788,0.0,0.0,0.0,0.0,0.0,0.0,0.0005294849894746325,0.0007942274842106952,0.00017649499649115543,0.00017649499649115543,8.82474982457789e-05,0.0,0.0
20170809151340,70.5014458,-162.01026940000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0004457526562401164,0.0006686289843616323,0.00014858421874670545,0.00014858421874670545,7.429210937336147e-05,0.0,0.0
20170809151649,70.5015857,-161.98536409999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0005161446452015276,0.0007742169678024225,0.00017204821506698143,0.00017204821506698143,8.602410753340326e-05,0.0,0.0
20170809152001,70.5014067,-161.9602735,0.0,0.0,0.0,0.0,0.0,0.0,0.0018755732471992977,0.002813359870799092,0.0006251910824006407,0.0006251910824006407,0.0003125955411997957,0.0,0.0
20170809152314,70.50131479999999,-161.9352405,0.0,0.0,0.0,0.0,0.0,0.0,0.0006802099732949085,0.0010203149599409198,0.0002267366577646226,0.0002267366577646226,0.00011336832888230984,0.0,0.0
20170809152627,70.5012717,-161.9102767,0.0,0.0,0.0,0.0,0.0,0.0,0.0016601479850427302,0.0024902219775638033,0.0005533826616817846,0.0005533826616817846,0.00027669133084036755,0.0,0.0
20170809152941,70.5013283,-161.8853373,0.0,0.0,0.0,0.0,0.0,0.0,0.0009722249627144083,0.0014583374440698632,0.0003240749875715763,0.0003240749875715763,0.0001620374937857736,0.0,0.0
20170809153256,70.5013433,-161.8603617,0.0,0.0,0.0,0.0,0.0,0.0,0.0006662072105768413,0.0009993108158649687,0.00022206907019225026,0.00022206907019225026,0.00011103453509611083,0.0,0.0
20170809153608,70.5012804,-161.8352767,0.0,0.0,0.0,0.0,0.0,0.0,0.0012773867241062723,0.0019160800861589711,0.0004257955747020033,0.0004257955747020033,0.000212897787351162,0.0,0.0
20170809153921,70.5013767,-161.8103175,0.0,0.0,0.0,0.0,0.0,0.0,0.0002542303934685344,0.0003813455902026996,8.47434644897175e-05,8.47434644897175e-05,4.237173224476836e-05,0.0,0.0
20170809154234,70.50130290000001,-161.7852693,0.0,0.0,0.0,0.0,0.0,0.0,0.0045731128732860735,0.006859669309914942,0.0015243709577601298,0.0015243709577601298,0.0007621854788800795,0.0,0.0
20170809154546,70.50112779999999,-161.7603834,0.0,0.0,0.0,0.0,0.0,0.0,0.000581385686602628,0.0008720785299027612,0.00019379522886733854,0.00019379522886733854,9.68976144337888e-05,0.0,0.0
