Interval,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
20170809135350,70.49944,-162.5610633,0.0,0.0,0.0,0.0,0.015127457147019276,0.09076474288212731,0.234475585778497,0.07563728573488937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809135855,70.4997017,-162.53614819999999,0.0,0.0,0.0,0.0,0.17289657108351056,0.17289657108351056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809140404,70.5000567,-162.511294,0.0,0.0,0.0,0.0,0.15225042659400964,0.15225042659400964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809140935,70.50002740000001,-162.48566730000002,0.0,0.0,0.0,0.0,0.22924337374894166,0.22924337374894166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809141442,70.4999947,-162.459707,0.0,0.0,0.0,0.0,0.1835158191929978,0.1835158191929978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809141821,70.50036340000001,-162.43480730000002,0.0,0.0,0.0,0.0,0.16501674911497521,0.16501674911497521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809142139,70.5004084,-162.4097726,0.0,0.0,0.0,0.0,0.16161560148537685,0.16161560148537685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809142459,70.500485,-162.3848428,0.0,0.0,0.0,0.0,0.22191430988511635,0.22191430988511635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809142817,70.500499,-162.35986680000002,0.0,0.0,0.0,0.0,0.2225536485329123,0.2225536485329123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809143134,70.5004967,-162.3349137,0.0,0.0,0.0,0.0,0.14902872679807538,0.14902872679807538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809143454,70.5006551,-162.30989619999997,0.0,0.0,0.0,0.0,0.1130216465485652,0.1130216465485652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809143813,70.5006932,-162.2849573,0.0,0.0,0.0,0.0,0.03794209768371389,0.03794209768371389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
