Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,3,1990,1,#NUM!,#NUM!,#NUM!,#NUM!
,3,1990,2,#NUM!,#NUM!,#NUM!,#NUM!
,3,1990,3,#NUM!,#NUM!,#NUM!,#NUM!
,3,1990,4,#NUM!,#NUM!,#NUM!,#NUM!
,3,1990,5,#NUM!,#NUM!,#NUM!,#NUM!
,3,1990,6,#NUM!,#NUM!,#NUM!,#NUM!
,3,1990,7,#NUM!,#NUM!,#NUM!,#NUM!
,3,1990,8,#NUM!,#NUM!,#NUM!,#NUM!
,3,1990,9,0.55,0.19,0.6,0.21
,3,1990,10,0.57,0.27,0.62,0.3
,3,1990,11,1.01,0.47,1.09,0.51
,3,1990,12,0.9,0.32,0.98,0.34
,3,1991,1,0.47,0.42,0.51,0.46
,3,1991,2,0.12,0.38,0.13,0.41
,3,1991,3,0.54,0.22,0.59,0.24
,3,1991,4,0.81,0.14,0.88,0.16
,3,1991,5,1.11,0.3,1.2,0.32
,3,1991,6,1.58,0.14,1.7,0.15
,3,1991,7,1.37,0.12,1.48,0.13
,3,1991,8,1.4,0.17,1.52,0.19
,3,1991,9,1.32,0.12,1.43,0.13
,3,1991,10,0.97,0.18,1.04,0.2
,3,1991,11,0.96,0.2,1.03,0.22
,3,1991,12,-0.08,0.38,-0.08,0.41
,3,1992,1,0.77,0.13,0.83,0.14
,3,1992,2,0.88,0.39,0.95,0.42
,3,1992,3,0.68,0.13,0.73,0.14
,3,1992,4,0.95,0.21,1.03,0.23
,3,1992,5,1.04,0.13,1.12,0.14
,3,1992,6,1.11,0.13,1.2,0.14
,3,1992,7,1.18,0.22,1.27,0.24
,3,1992,8,0.65,0.18,0.7,0.19
,3,1992,9,-0.02,0.14,-0.03,0.15
,3,1992,10,#NUM!,#NUM!,#NUM!,#NUM!
,3,1992,11,#NUM!,#NUM!,#NUM!,#NUM!
,3,1992,12,#NUM!,#NUM!,#NUM!,#NUM!
,3,1993,1,#NUM!,#NUM!,#NUM!,#NUM!
,3,1993,2,#NUM!,#NUM!,#NUM!,#NUM!
,3,1993,3,#NUM!,#NUM!,#NUM!,#NUM!
,3,1993,4,#NUM!,#NUM!,#NUM!,#NUM!
,3,1993,5,#NUM!,#NUM!,#NUM!,#NUM!
,3,1993,6,#NUM!,#NUM!,#NUM!,#NUM!
,3,1993,7,#NUM!,#NUM!,#NUM!,#NUM!
,3,1993,8,#NUM!,#NUM!,#NUM!,#NUM!
,3,1993,9,#NUM!,#NUM!,#NUM!,#NUM!
,3,1993,10,#NUM!,#NUM!,#NUM!,#NUM!
,3,1993,11,#NUM!,#NUM!,#NUM!,#NUM!
,3,1993,12,#NUM!,#NUM!,#NUM!,#NUM!
,3,1994,1,#NUM!,#NUM!,#NUM!,#NUM!
,3,1994,2,#NUM!,#NUM!,#NUM!,#NUM!
,3,1994,3,#NUM!,#NUM!,#NUM!,#NUM!
,3,1994,4,#NUM!,#NUM!,#NUM!,#NUM!
,3,1994,5,#NUM!,#NUM!,#NUM!,#NUM!
,3,1994,6,#NUM!,#NUM!,#NUM!,#NUM!
,3,1994,7,#NUM!,#NUM!,#NUM!,#NUM!
,3,1994,8,#NUM!,#NUM!,#NUM!,#NUM!
,3,1994,9,#NUM!,#NUM!,#NUM!,#NUM!
,3,1994,10,#NUM!,#NUM!,#NUM!,#NUM!
,3,1994,11,#NUM!,#NUM!,#NUM!,#NUM!
,3,1994,12,#NUM!,#NUM!,#NUM!,#NUM!
,3,1995,1,#NUM!,#NUM!,#NUM!,#NUM!
,3,1995,2,#NUM!,#NUM!,#NUM!,#NUM!
,3,1995,3,#NUM!,#NUM!,#NUM!,#NUM!
,3,1995,4,#NUM!,#NUM!,#NUM!,#NUM!
,3,1995,5,#NUM!,#NUM!,#NUM!,#NUM!
,3,1995,6,#NUM!,#NUM!,#NUM!,#NUM!
,3,1995,7,#NUM!,#NUM!,#NUM!,#NUM!
,3,1995,8,#NUM!,#NUM!,#NUM!,#NUM!
,3,1995,9,#NUM!,#NUM!,#NUM!,#NUM!
,3,1995,10,#NUM!,#NUM!,#NUM!,#NUM!
,3,1995,11,#NUM!,#NUM!,#NUM!,#NUM!
,3,1995,12,#NUM!,#NUM!,#NUM!,#NUM!
,3,1996,1,#NUM!,#NUM!,#NUM!,#NUM!
,3,1996,2,#NUM!,#NUM!,#NUM!,#NUM!
,3,1996,3,#NUM!,#NUM!,#NUM!,#NUM!
,3,1996,4,#NUM!,#NUM!,#NUM!,#NUM!
,3,1996,5,#NUM!,#NUM!,#NUM!,#NUM!
,3,1996,6,#NUM!,#NUM!,#NUM!,#NUM!
,3,1996,7,#NUM!,#NUM!,#NUM!,#NUM!
,3,1996,8,#NUM!,#NUM!,#NUM!,#NUM!
,3,1996,9,#NUM!,#NUM!,#NUM!,#NUM!
,3,1996,10,#NUM!,#NUM!,#NUM!,#NUM!
,3,1996,11,#NUM!,#NUM!,#NUM!,#NUM!
,3,1996,12,#NUM!,#NUM!,#NUM!,#NUM!
,3,1997,1,#NUM!,#NUM!,#NUM!,#NUM!
,3,1997,2,#NUM!,#NUM!,#NUM!,#NUM!
,3,1997,3,#NUM!,#NUM!,#NUM!,#NUM!
,3,1997,4,#NUM!,#NUM!,#NUM!,#NUM!
,3,1997,5,#NUM!,#NUM!,#NUM!,#NUM!
