,Interval,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12,13
0,20170809135350,70.49944,-162.5610633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028694111527211838,0.0,0.0191294076847973,0.0,0.0191294076847973,0.0
1,20170809135855,70.4997017,-162.53614819999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0004250093414378149,0.0004250093414378149,0.0004250093414378149,0.0012750280243142905,0.0,0.0,0.0
2,20170809140404,70.5000567,-162.511294,0.0,0.0,0.0,0.0,0.0,0.0,0.0003742545558438954,0.0003742545558438954,0.0003742545558438954,0.0011227636675320942,0.0,0.0,0.0
3,20170809140935,70.50002740000001,-162.48566730000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0005634909957028447,0.0005634909957028447,0.0005634909957028447,0.0016904729871082106,0.0,0.0,0.0
4,20170809141442,70.4999947,-162.459707,0.0,0.0,0.0,0.0,0.0,0.0,0.00045109664037582686,0.00045109664037582686,0.00045109664037582686,0.0013532899211259088,0.0,0.0,0.0
5,20170809141821,70.50036340000001,-162.43480730000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0004056083797301712,0.0004056083797301712,0.0004056083797301712,0.0012168251391903389,0.0,0.0,0.0
6,20170809142139,70.5004084,-162.4097726,0.0,0.0,0.0,0.0,0.0,0.0,0.00039726326300403746,0.00039726326300403746,0.00039726326300403746,0.0011917897890125495,0.0,0.0,0.0
7,20170809142459,70.500485,-162.3848428,0.0,0.0,0.0,0.0,0.0,0.0,0.0005454249980116645,0.0005454249980116645,0.0005454249980116645,0.0016362749940351101,0.0,0.0,0.0
8,20170809142817,70.500499,-162.35986680000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0005469928412314922,0.0005469928412314922,0.0005469928412314922,0.0016409785236909807,0.0,0.0,0.0
9,20170809143134,70.5004967,-162.3349137,0.0,0.0,0.0,0.0,0.0,0.0,0.0003662929689480315,0.0003662929689480315,0.0003662929689480315,0.0010988789068446774,0.0,0.0,0.0
10,20170809143454,70.5006551,-162.30989619999997,0.0,0.0,0.0,0.0,0.0,0.0,0.00027782049536867503,0.00027782049536867503,0.00027782049536867503,0.0008334614861054158,0.0,0.0,0.0
11,20170809143813,70.5006932,-162.2849573,0.0,0.0,0.0,0.0,0.0,0.0,9.328104296914753e-05,9.328104296914753e-05,9.328104296914753e-05,0.0002798431289072668,0.0,0.0,0.0
12,20170809144130,70.50073499999999,-162.2599617,0.0,0.0,0.0,0.0,0.0,0.0,3.471901081170644e-05,3.471901081170644e-05,3.471901081170644e-05,0.00010415703243503182,0.0,0.0,0.0
13,20170809144446,70.5007547,-162.2350181,0.0,0.0,0.0,0.0,0.0,0.0,0.004014475270973765,0.006021712906463854,0.0013381584236559973,0.0013381584236559973,0.0006690792118291648,0.0,0.0
14,20170809144803,70.50064640000001,-162.2099852,0.0,0.0,0.0,0.0,0.0,0.0,0.0024989613456157956,0.003748442018425297,0.0008329871152055568,0.0008329871152055568,0.0004164935576026326,0.0,0.0
15,20170809145119,70.5008833,-162.18509,0.0,0.0,0.0,0.0,0.0,0.0,0.0006776835708731207,0.0010165253563090978,0.00022589452362462622,0.00022589452362462622,0.00011294726181193409,0.0,0.0
16,20170809145433,70.50106729999999,-162.159992,0.0,0.0,0.0,0.0,0.0,0.0,0.0005155721302840255,0.000773358195427627,0.000171857376761507,0.000171857376761507,8.592868838072435e-05,0.0,0.0
17,20170809145747,70.5011145,-162.1349783,0.0,0.0,0.0,0.0,0.0,0.0,0.0006617956098594013,0.0009926934147903267,0.00022059853661971298,0.00022059853661971298,0.00011029926830975444,0.0,0.0
18,20170809150059,70.50114350000001,-162.110102,0.0,0.0,0.0,0.0,0.0,0.0,0.00010624173487839893,0.00015936260231800656,3.5413911626218695e-05,3.5413911626218695e-05,1.7706955813103516e-05,0.0,0.0
19,20170809150410,70.5011482,-162.0850271,0.0,0.0,0.0,0.0,0.0,0.0,0.00016023637358654938,0.00024035456037953251,5.341212452884979e-05,5.341212452884979e-05,2.6706062264424897e-05,0.0,0.0
20,20170809150722,70.50119190000001,-162.05997040000003,0.0,0.0,0.0,0.0,0.0,0.0,0.000512109060844942,0.0007681635912688401,0.00017070302028173383,0.00017070302028173383,8.535151014091065e-05,0.0,0.0
21,20170809151032,70.5012822,-162.0350788,0.0,0.0,0.0,0.0,0.0,0.0,0.00043676349060682167,0.0006551452359118798,0.0001455878302026529,0.0001455878302026529,7.27939151013527e-05,0.0,0.0
22,20170809151340,70.5014458,-162.01026940000003,0.0,0.0,0.0,0.0,0.0,0.0,0.00036769406113106956,0.0005515410916967647,0.00012256468704354407,0.00012256468704354407,6.128234352176037e-05,0.0,0.0
23,20170809151649,70.5015857,-161.98536409999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0004257592592391799,0.0006386388888574724,0.00014191975307966054,0.00014191975307966054,7.095987653993231e-05,0.0,0.0
24,20170809152001,70.5014067,-161.9602735,0.0,0.0,0.0,0.0,0.0,0.0,0.0015471296346885773,0.002320694452031264,0.0005157098782294869,0.0005157098782294869,0.0002578549391147726,0.0,0.0
25,20170809152314,70.50131479999999,-161.9352405,0.0,0.0,0.0,0.0,0.0,0.0,0.0005610940596782884,0.0008416410895171119,0.00018703135322590953,0.00018703135322590953,9.351567661283815e-05,0.0,0.0
26,20170809152627,70.5012717,-161.9102767,0.0,0.0,0.0,0.0,0.0,0.0,0.0013694288663257048,0.0020541432994905977,0.00045647628877426306,0.00045647628877426306,0.00022823814438768548,0.0,0.0
