SURVEY,EVENT_ID,GEAR,EQ_TIME,EQ_LONGITUDE,EQ_LATITUDE,HB_TIME,HB_LONGITUDE,HB_LATITUDE,BOTTOM_DEPTH_START,AVG_HEAD_ROPE_DEPTH,AVG_NET_VERT_OPENING,AVG_NET_HORI_OPENING,MIN_HEAD_ROPE_DEPTH,MAX_HEAD_ROPE_DEPTH,YEAR,NET_AREA,TRAWL_DIST,VOL_FILTERED
201701,552,Marinovich,13-SEP-17 03.43.26.109000000 PM,-165.6478,69.9919,13-SEP-17 04.00.40.230000000 PM,-165.6689,69.9892,41.8,22,7.9,9.05,20,24,2017,71.495,860.5407181,61524.35864
201701,555,Marinovich,13-SEP-17 09.07.21.442000000 PM,-166.9001,70.0013,13-SEP-17 09.17.19.858000000 PM,-166.8986,69.9983,47.4,29,8.5,7.01,27,31,2017,59.585,339.5523577,20232.22724
201701,621,Marinovich,20-SEP-17 12.28.34.461000000 AM,-165.3315,69.4966,20-SEP-17 12.56.35.814000000 AM,-165.2941,69.4868,34,20.42,7.91,6.67,18,24,2017,52.7597,1826.271077,96353.51412
201701,635,Marinovich,20-SEP-17 06.03.04.728000000 PM,-167.1727,69.4984,20-SEP-17 06.24.14.942000000 PM,-167.1394,69.4929,48,28.25,7.81,6.99,26,29,2017,54.5919,1439.58743,78589.81304
201701,646,Marinovich,21-SEP-17 12.05.45.869000000 AM,-168.4346,69.5034,21-SEP-17 12.26.04.525000000 AM,-168.4637,69.4968,51,40.53,7.38,7.43,39,42,2017,54.8334,1355.242514,74312.55485
201701,667,Marinovich,21-SEP-17 09.26.14.010000000 PM,-166.8777,68.9938,21-SEP-17 09.32.34.432000000 PM,-166.8855,68.9912,46,24,8,5,23,25,2017,40,426.1174813,17044.69925
201701,689,Marinovich,24-SEP-17 12.22.02.007000000 AM,-167.7731,68.514,24-SEP-17 12.47.16.923000000 AM,-167.8072,68.5068,53,32.47,8.11,6.72,18,43,2017,54.4992,1609.350803,87708.3313
201701,708,Marinovich,24-SEP-17 11.01.30.692000000 PM,-166.6334,68.0138,24-SEP-17 11.26.57.024000000 PM,-166.6504,68.0012,46,27.44,7.22,7,25,30,2017,50.54,1574.851635,79593.00164
201701,736,Marinovich,26-SEP-17 02.49.16.359000000 AM,-165.5653,67.4886,26-SEP-17 02.49.19.495000000 AM,-165.5683,67.4661,38,20,,,20,20,2017,62.59667997,2512.668628,157284.714
201701,759,Marinovich,27-SEP-17 03.06.31.660000000 AM,-166.1689,67.0064,27-SEP-17 03.31.33.597000000 AM,-166.1295,67.0127,29,18,7.5,6.5,17,19,2017,48.75,1856.065506,90483.19341
201901,112,Marinovich,27-AUG-19 07.14.32.711000000 PM,-168.5134,72.4843,27-AUG-19 07.40.17.516000000 PM,-168.5311,72.4664,55,33.05,,,22,40,2019,56.11687645,2084.259525,116962.1343
201901,124,Marinovich,28-AUG-19 04.49.46.886000000 PM,-165.1754,72.5274,28-AUG-19 05.07.15.658000000 PM,-165.1748,72.5391,50,29.65,,,14,42,2019,56.11687645,1305.785118,73276.58212
201901,125,Marinovich,28-AUG-19 07.58.09.870000000 PM,-164.5467,72.4954,28-AUG-19 08.10.21.323000000 PM,-164.5568,72.5029,50,29.87,6.48,,18,39,2019,48.269925,903.0420319,43589.77115
201901,131,Marinovich,29-AUG-19 12.21.56.796000000 AM,-163.4854,72.5088,29-AUG-19 12.37.39.098000000 AM,-163.4877,72.4983,47,32.38,7,,30,35,2019,52.1434375,1174.257166,61229.80516
201901,137,Marinovich,29-AUG-19 05.05.38.848000000 PM,-161.8411,72.4915,29-AUG-19 05.24.23.826000000 PM,-161.799,72.4843,44,22.6,8.15,7.22,18,28,2019,58.843,1626.78916,95725.15457
201901,142,Marinovich,29-AUG-19 11.26.28.390000000 PM,-160.208,72.5014,29-AUG-19 11.44.31.202000000 PM,-160.2349,72.4917,48,28.54,7.43,7.37,24,31,2019,54.7591,1409.890086,77204.31223
201901,147,Marinovich,30-AUG-19 04.17.26.732000000 PM,-159.6463,72.7673,30-AUG-19 04.41.05.970000000 PM,-159.5869,72.7662,89,27.7,7.71,7.35,15,40,2019,56.6685,1968.83828,111571.1121
201901,157,Marinovich,30-AUG-19 11.17.04.451000000 PM,-159.2123,72.9632,30-AUG-19 11.48.33.065000000 PM,-159.2451,72.9479,328,227.9,7.15,7,220,236,2019,50.05,2016.878125,100944.7501
201901,164,Marinovich,31-AUG-19 04.59.59.799000000 PM,-156.8945,72.5522,31-AUG-19 05.24.01.535000000 PM,-156.9468,72.5578,1130,34.49,8.5,7,23,42,2019,59.5,1858.911613,110605.241
201901,169,Marinovich,31-AUG-19 10.28.30.249000000 PM,-157.1753,72.3706,31-AUG-19 10.59.13.249000000 PM,-157.228,72.3788,241,211.64,7,8,203,215,2019,56,2002.98926,112167.3985
201901,184,Marinovich,02-SEP-19 08.51.50.690000000 PM,-159.2592,71.0121,02-SEP-19 09.06.55.272000000 PM,-159.2852,71.0075,54,28.67,6.96,8.26,22,34,2019,57.4896,1075.07941,61805.88524
201901,191,Marinovich,03-SEP-19 04.18.04.653000000 PM,-160.7456,70.9923,03-SEP-19 04.34.31.946000000 PM,-160.7736,70.9865,47,16.95,7.52,7,14,19,2019,52.64,1206.592721,63515.04085
201901,197,Marinovich,03-SEP-19 10.17.04.362000000 PM,-162.3931,71.0001,03-SEP-19 10.33.39.829000000 PM,-162.4203,70.9933,45,34.54,7,7,29,36,2019,49,1246.428206,61074.98208
201901,204,Marinovich,04-SEP-19 04.20.25.555000000 PM,-163.9071,71.0115,04-SEP-19 04.38.41.580000000 PM,-163.8829,71.0012,44,22.48,8.34,7.19,15,33,2019,59.9646,1447.088471,86774.08135
