Interval,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12,13
20170809135350,70.49944,-162.5610633,0.0,0.0,0.0,0.0,0.015319018030283064,0.09191410818171006,0.23744477946901432,0.07659509015121124,0.0,0.0,0.0,0.0,0.0
20170809135855,70.4997017,-162.53614819999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809140404,70.5000567,-162.511294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809140935,70.50002740000001,-162.48566730000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809141442,70.4999947,-162.459707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809141821,70.50036340000001,-162.43480730000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809142139,70.5004084,-162.4097726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809142459,70.500485,-162.3848428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809142817,70.500499,-162.35986680000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809143134,70.5004967,-162.3349137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809143454,70.5006551,-162.30989619999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809143813,70.5006932,-162.2849573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809144130,70.50073499999999,-162.2599617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809144446,70.5007547,-162.2350181,0.0,0.0,0.0,0.017581571291595335,0.0058605237638624874,0.0058605237638624874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809144803,70.50064640000001,-162.2099852,0.0,0.0,0.0,0.010944311295308264,0.003648103765099548,0.003648103765099548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809145119,70.5008833,-162.18509,0.0,0.0,0.0,0.002967945051392692,0.0009893150171310916,0.0009893150171310916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809145433,70.50106729999999,-162.159992,0.0,0.0,0.0,0.0022579708561367897,0.0007526569520447219,0.0007526569520447219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809145747,70.5011145,-162.1349783,0.0,0.0,0.0,0.0028983630262543795,0.0009661210087518483,0.0009661210087518483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809150059,70.50114350000001,-162.110102,0.0,0.0,0.0,0.00046529035797410076,0.00015509678599151172,0.00015509678599151172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809150410,70.5011482,-162.0850271,0.0,0.0,0.0,0.0007017622567226372,0.00023392075224117057,0.00023392075224117057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809150722,70.50119190000001,-162.05997040000003,0.0,0.0,0.0,0.0022428041909780274,0.0007476013969933532,0.0007476013969933532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809151032,70.5012822,-162.0350788,0.0,0.0,0.0,0.0019128249470626581,0.0006376083156879901,0.0006376083156879901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809151340,70.5014458,-162.01026940000003,0.0,0.0,0.0,0.0016103323380750598,0.0005367774460241745,0.0005367774460241745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809151649,70.5015857,-161.98536409999997,0.0,0.0,0.0,0.001864631431032472,0.0006215438103432924,0.0006215438103432924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809152001,70.5014067,-161.9602735,0.0,0.0,0.0,0.0067757223879924035,0.0022585741293308973,0.0022585741293308973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809152314,70.50131479999999,-161.9352405,0.0,0.0,0.0,0.002457336151208897,0.0008191120504030725,0.0008191120504030725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809152627,70.5012717,-161.9102767,0.0,0.0,0.0,0.0059974740450257505,0.0019991580150100414,0.0019991580150100414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809152941,70.5013283,-161.8853373,0.0,0.0,0.0,0.00351227362400901,0.001170757874671711,0.001170757874671711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809153256,70.5013433,-161.8603617,0.0,0.0,0.0,0.0024067495729593593,0.0008022498576536982,0.0008022498576536982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809153608,70.5012804,-161.8352767,0.0,0.0,0.0,0.004614705310800828,0.0015382351036014419,0.0015382351036014419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809153921,70.5013767,-161.8103175,0.0,0.0,0.0,0.0009184363081027923,0.00030614543603409893,0.00030614543603409893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809154234,70.50130290000001,-161.7852693,0.0,0.0,0.0,0.016520892119018783,0.005506964039682772,0.005506964039682772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809154546,70.50112779999999,-161.7603834,0.0,0.0,0.0,0.002100322138124274,0.0007001073793756036,0.0007001073793756036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
