Interval,Latitude,Longitude,Capelin (No. m^-2),Pollock (No. m^-2),Arctic cod (No. m^-2),Pacific cod (No. m^-2),Saffron cod (No. m^-2)
20170809135350,70.49944,-162.5610633,0.020842274291518366,0.41600507154253297,0.0,0.0,0.0
20170809135855,70.4997017,-162.5361482,0.0015930273748498756,0.3457931421670211,2.232440450870125,0.0,0.0
20170809140404,70.5000567,-162.511294,0.0014027987708272592,0.3045008531880193,1.9658574421726762,0.0,0.0
20170809140935,70.50002740000002,-162.48566730000005,0.002112193247070198,0.4584867474978834,2.9599903424581555,0.0,0.0
20170809141442,70.4999947,-162.459707,0.0016908705699599288,0.3670316383859956,2.3695561778558307,0.0,0.0
20170809141821,70.50036340000003,-162.43480730000005,0.0015204245925845667,0.3300334982299504,2.1306961930310333,0.0,0.0
20170809142139,70.5004084,-162.4097726,0.0014890872372739878,0.3232312029707537,2.0867805763114973,0.0,0.0
20170809142459,70.500485,-162.3848428,0.0020446650173694654,0.4438286197702327,2.865357473025006,0.0,0.0
20170809142817,70.500499,-162.35986680000005,0.002050555729724905,0.4451072970658246,2.873612613368765,0.0,0.0
20170809143134,70.5004967,-162.3349137,0.0013731148046508554,0.29805745359615077,1.92425885580669,0.0,0.0
20170809143454,70.5006551,-162.30989619999997,0.0010413542372412084,0.2260432930971304,1.45933545123371,0.0,0.0
20170809143813,70.5006932,-162.2849573,0.0003495893521226474,0.07588419536742777,0.48990834884237444,0.0,0.0
20170809144130,70.50073499999998,-162.2599617,0.000130078287177342,0.028235660203281106,0.18228941615164956,0.0,0.0
20170809144446,70.5007547,-162.2350181,0.003753159034556964,0.04871600426849089,0.01970942332966364,0.0,0.0
20170809144803,70.50064640000002,-162.2099852,0.0023366381048664335,0.03032956260111653,0.012270673625339963,0.0,0.0
20170809145119,70.5008833,-162.18509,0.0006333519378796053,0.00822090815366261,0.0033259985376088144,0.0,0.0
20170809145433,70.50106729999997,-162.159992,0.0004822447227577245,0.00625953650138692,0.0025324707271482754,0.0,0.0
20170809145747,70.5011145,-162.1349783,0.0006187490509225507,0.00803136268095288,0.0032493126103073427,0.0,0.0
