StationID,Year,StationNumber,LatitudeStart DD,LongitudeStart DD,Depth (m),PARIrradiance uE,PrimaryTemperature deg. C,PrimarySalinity PSU,PrimaryOxygenSat %,SigmaTheta kg/m3
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,0.0,227.14,3.46,29.6893,103.90413,23.611206
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,1.0,227.14,3.46,29.6893,103.90413,23.611206
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,2.0,227.14,3.46,29.6893,103.90413,23.611206
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,3.0,227.14,3.46,29.6893,103.90413,23.611206
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,4.0,227.14,3.46,29.6893,103.90413,23.611206
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,5.0,227.14,3.46,29.6893,103.90413,23.611206
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,6.0,165.35,3.4602,29.6897,104.00888,23.61145
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,7.0,147.77,3.4623,29.6912,103.95917,23.612427
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,8.0,141.83,3.4661,29.6924,103.78643,23.61322
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,9.0,123.17,3.4702,29.694,103.94594,23.614136
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,10.0,96.496,3.4898,29.7012,103.83699,23.618164
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,11.0,88.054,3.6019,29.7866,105.63683,23.676636
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,12.0,79.58,4.6362,30.7032,109.522125,24.307983
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,13.0,68.812,5.445,31.2896,107.30129,24.686035
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,14.0,60.047,5.7665,31.463,105.260864,24.786255
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,15.0,53.727,5.8404,31.533,105.54288,24.832886
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,16.0,47.854,5.9192,31.6181,105.907265,24.89087
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,17.0,43.352,6.0842,31.732,104.69524,24.960938
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,18.0,38.3,6.1699,31.7719,103.994606,24.982056
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,19.0,35.55,6.2337,31.8064,103.069046,25.001465
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,20.0,33.685,6.1624,31.8094,103.18869,25.012573
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,21.0,30.614,6.13,31.8165,103.52738,25.022095
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,22.0,28.534,6.2501,31.8674,102.61752,25.047485
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,23.0,27.633,6.296,31.9097,101.954475,25.075317
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,24.0,25.461,6.2356,31.936,102.14169,25.103516
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,25.0,22.671,6.1786,31.9907,102.80545,25.153687
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,26.0,21.177,6.2084,31.978,102.049675,25.140015
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,27.0,20.604,6.1498,32.0517,97.86564,25.2052
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,28.0,18.738,5.6422,32.0453,97.9234,25.260864
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,29.0,16.887,4.6054,31.9729,100.404045,25.317993
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,30.0,15.427,2.6183,31.9389,102.6969,25.473267
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,31.0,14.058,1.847,32.082,111.81623,25.645264
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,32.0,12.529,1.5675,32.1677,113.053665,25.732788
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,33.0,11.115,1.1625,32.2082,112.95424,25.791138
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,34.0,9.5635,1.0176,32.2184,114.98866,25.807861
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,35.0,8.5631,0.7639,32.2607,110.8531,25.856567
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,36.0,7.6306,1.0173,32.3975,102.22791,25.951904
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,37.0,6.5156,1.1011,32.4342,91.490746,25.97644
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,38.0,5.3198,1.1098,32.4378,84.37483,25.978882
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,39.0,4.4877,1.1072,32.4468,83.18908,25.986206
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,40.0,3.605,1.1067,32.448,82.42919,25.98706
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,41.0,2.9555,1.1067,32.4489,82.09721,25.987793
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,42.0,2.4406,1.106,32.4494,81.987076,25.988403
os1701Leg2c066,2019,66,72.49983215332031,160.21083068847656,43.0,2.0332,1.1048,32.4492,81.930244,25.98816
