StationID,Year,StationNumber,LatitudeStart DD,LongitudeStart DD,Depth (m),PARIrradiance uE,PrimaryTemperature deg. C,PrimarySalinity PSU,PrimaryOxygenSat %,SigmaTheta kg/m3
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,0.0,3.7504,7.2484,30.1935,103.97629,23.602783
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,1.0,3.7504,7.2484,30.1935,103.97629,23.602783
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,2.0,3.7504,7.2484,30.1935,103.97629,23.602783
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,3.0,3.7504,7.2484,30.1935,103.97629,23.602783
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,4.0,3.2826,7.2328,30.1824,103.95341,23.59613
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,5.0,2.8745,7.2467,30.194,104.19095,23.603516
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,6.0,2.5952,7.5668,30.4213,103.99195,23.739624
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,7.0,2.4015,7.8847,30.6137,104.102066,23.847107
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,8.0,2.2982,7.8693,30.6088,104.99164,23.845459
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,9.0,2.1398,7.7711,30.6314,105.06136,23.87677
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,10.0,2.0087,7.7163,30.6452,104.68012,23.89502
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,11.0,1.8624,7.6323,30.6632,104.62848,23.920715
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,12.0,1.7715,7.5459,30.6783,104.232445,23.944153
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,13.0,1.6967,7.5254,30.6893,104.73751,23.955566
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,14.0,1.6101,7.5269,30.7014,103.72758,23.964966
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,15.0,1.5525,7.4922,30.7148,110.880005,23.980164
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,16.0,1.5044,5.5587,30.9194,116.280685,24.380493
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,17.0,1.4592,3.6288,31.0828,118.81602,24.705444
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,18.0,1.427,1.2517,31.4118,124.40928,25.14624
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,19.0,1.3957,0.17,31.6261,125.983215,25.37561
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,20.0,1.3672,0.0051,31.6884,127.38317,25.433105
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,21.0,1.3456,-0.0094,31.749,128.7048,25.482788
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,22.0,1.3147,0.2566,31.7356,126.57838,25.459839
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,23.0,1.2942,0.1619,31.8293,125.93254,25.539795
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,24.0,1.2747,-0.2148,31.8927,125.36702,25.607422
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,25.0,1.2605,-0.4663,31.952,128.99254,25.665283
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,26.0,1.2477,-0.6669,32.0187,129.08395,25.726562
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,27.0,1.2339,-0.6295,32.0696,117.773125,25.766357
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,28.0,1.2259,-0.8259,32.12,104.00301,25.813843
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,29.0,1.211,-1.0139,32.1517,103.44594,25.845459
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,30.0,1.1805,-1.1101,32.1633,86.387375,25.857788
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,31.0,1.1791,-1.2431,32.1977,85.31344,25.889526
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,32.0,1.1776,-1.1966,32.2178,86.13448,25.904419
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,33.0,1.1775,-1.0559,32.247,86.081604,25.924194
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,34.0,1.1763,-0.7313,32.3428,87.887344,25.990967
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,35.0,1.1759,-0.3163,32.4376,89.63423,26.051636
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,36.0,1.1753,-0.2233,32.4543,90.82064,26.061401
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,37.0,1.175,-0.1866,32.4595,91.06853,26.063843
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,38.0,1.1747,-0.1798,32.4584,91.017204,26.062744
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,39.0,1.1747,-0.1753,32.4581,91.05679,26.062378
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,40.0,1.1742,-0.172,32.4585,91.16556,26.0625
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,41.0,1.1744,-0.1718,32.457,91.40994,26.06128
os1901l2c056,2019,56,71.00166320800781,160.78700256347656,42.0,1.1736,-0.1688,32.4583,91.56931,26.062256
