StationID,Year,StationNumber,LatitudeStart DD,LongitudeStart DD,Depth (m),PARIrradiance uE,PrimaryTemperature deg. C,PrimarySalinity PSU,PrimaryOxygenSat %,SigmaTheta kg/m3
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,0.0,8.7693,5.5689,29.3596,102.53695,23.14679
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,1.0,8.7693,5.5689,29.3596,102.53695,23.14679
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,2.0,8.7693,5.5689,29.3596,102.53695,23.14679
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,3.0,8.7693,5.5689,29.3596,102.53695,23.14679
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,4.0,7.4519,5.5364,29.3479,102.76856,23.141113
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,5.0,6.3819,5.5257,29.3444,102.53444,23.139526
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,6.0,5.7172,5.5248,29.3434,103.722,23.138855
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,7.0,5.1091,5.6565,29.4402,104.48335,23.200928
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,8.0,4.6105,6.7456,30.4838,104.373314,23.895569
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,9.0,4.2228,7.1045,30.8815,104.73366,24.162598
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,10.0,3.815,7.2753,31.0849,104.89315,24.299927
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,11.0,3.551,7.4685,31.2815,104.71164,24.428589
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,12.0,3.2818,7.5947,31.4254,104.94111,24.524414
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,13.0,3.0559,7.585,31.4256,104.84888,24.525879
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,14.0,2.8531,7.6176,31.4595,105.3283,24.547974
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,15.0,2.6974,7.7736,31.5955,106.80576,24.633179
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,16.0,2.5585,7.7149,31.7027,107.76556,24.725464
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,17.0,2.4361,7.6025,31.8107,109.23074,24.825928
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,18.0,2.296,7.3716,32.0077,110.46043,25.012451
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,19.0,2.1813,7.2432,32.1166,110.63728,25.115479
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,20.0,2.0744,6.0152,32.3066,124.42435,25.422974
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,21.0,1.9695,3.8309,32.3026,132.31937,25.657227
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,22.0,1.872,1.9925,32.5215,127.461365,25.986816
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,23.0,1.7754,0.8397,32.5105,113.9297,26.053223
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,24.0,1.687,0.2475,32.5675,109.983315,26.13086
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,25.0,1.6027,0.1977,32.5902,105.88455,26.151733
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,26.0,1.5211,0.1663,32.6063,103.669014,26.166138
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,27.0,1e+35,1e+35,1e+35,1e+35,1e+35
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,28.0,1.4064,0.1274,32.6278,100.90754,26.185303
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,29.0,1.3561,0.121,32.6312,100.08819,26.188354
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,30.0,1.3178,0.119,32.632,99.5283,26.189209
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,31.0,1.2842,0.1158,32.6335,99.19419,26.190552
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,32.0,1.2575,0.1139,32.6334,98.86468,26.190552
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,33.0,1.2361,0.1133,32.6333,98.87008,26.19043
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,34.0,1.2191,0.1123,32.6334,98.65797,26.190552
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,35.0,1.2073,0.1126,32.6335,98.63929,26.190674
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,36.0,1.1979,0.1117,32.6331,98.83874,26.19043
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,37.0,1.1903,0.1129,32.6325,98.61844,26.189941
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,38.0,1.1853,0.1112,32.6322,98.34536,26.189697
os1901l2c046,2019,46,72.50166320800781,161.90866088867188,39.0,1.181,0.1124,32.6313,98.73016,26.188843
