StationID,Year,StationNumber,LatitudeStart DD,LongitudeStart DD,Depth (m),PARIrradiance uE,PrimaryTemperature deg. C,PrimarySalinity PSU,PrimaryOxygenSat %,SigmaTheta kg/m3
os1901l2c062,2019,62,71.75,168.48800659179688,0.0,1.4981,8.2592,30.9497,102.00153,24.05774
os1901l2c062,2019,62,71.75,168.48800659179688,1.0,1.4981,8.2592,30.9497,102.00153,24.05774
os1901l2c062,2019,62,71.75,168.48800659179688,2.0,1.4981,8.2592,30.9497,102.00153,24.05774
os1901l2c062,2019,62,71.75,168.48800659179688,3.0,1.4981,8.2592,30.9497,102.00153,24.05774
os1901l2c062,2019,62,71.75,168.48800659179688,4.0,1.4109,8.2608,30.9501,101.891914,24.05774
os1901l2c062,2019,62,71.75,168.48800659179688,5.0,1.3754,8.2589,30.9501,102.15744,24.058105
os1901l2c062,2019,62,71.75,168.48800659179688,6.0,1.3482,8.2573,30.9501,101.565025,24.05835
os1901l2c062,2019,62,71.75,168.48800659179688,7.0,1.3262,8.2568,30.9498,101.79232,24.058228
os1901l2c062,2019,62,71.75,168.48800659179688,8.0,1.3085,8.2563,30.9495,102.15096,24.057983
os1901l2c062,2019,62,71.75,168.48800659179688,9.0,1.2897,8.2558,30.9492,101.766136,24.057861
os1901l2c062,2019,62,71.75,168.48800659179688,10.0,1.2767,8.2553,30.9495,101.62275,24.058228
os1901l2c062,2019,62,71.75,168.48800659179688,11.0,1.2648,8.2556,30.9496,102.39622,24.058228
os1901l2c062,2019,62,71.75,168.48800659179688,12.0,1.2544,8.2571,30.9499,102.15717,24.058228
os1901l2c062,2019,62,71.75,168.48800659179688,13.0,1.2467,8.2579,30.9503,101.15183,24.05835
os1901l2c062,2019,62,71.75,168.48800659179688,14.0,1.2386,8.2816,31.1823,98.89029,24.236816
os1901l2c062,2019,62,71.75,168.48800659179688,15.0,1.2306,7.991,32.0382,99.46192,24.94983
os1901l2c062,2019,62,71.75,168.48800659179688,16.0,1.2239,7.9827,32.1297,100.426506,25.022827
os1901l2c062,2019,62,71.75,168.48800659179688,17.0,1.2167,7.7816,32.1657,95.990616,25.079712
os1901l2c062,2019,62,71.75,168.48800659179688,18.0,1.2127,6.8016,32.1617,90.42825,25.209717
os1901l2c062,2019,62,71.75,168.48800659179688,19.0,1.2093,5.9045,32.1957,87.30751,25.348755
os1901l2c062,2019,62,71.75,168.48800659179688,20.0,1.206,4.9603,32.193,86.60289,25.454712
os1901l2c062,2019,62,71.75,168.48800659179688,21.0,1.2039,4.3959,32.2309,86.17376,25.544434
os1901l2c062,2019,62,71.75,168.48800659179688,22.0,1.2006,4.2125,32.2373,86.25412,25.567993
os1901l2c062,2019,62,71.75,168.48800659179688,23.0,1.1975,4.0641,32.2445,86.30023,25.588501
os1901l2c062,2019,62,71.75,168.48800659179688,24.0,1.1951,3.9148,32.2463,91.769485,25.60437
os1901l2c062,2019,62,71.75,168.48800659179688,25.0,1.1921,3.664,32.2674,114.145836,25.64502
os1901l2c062,2019,62,71.75,168.48800659179688,26.0,1.1883,3.247,32.5359,110.40558,25.89685
os1901l2c062,2019,62,71.75,168.48800659179688,27.0,1.1859,2.9773,32.5547,106.87101,25.935303
os1901l2c062,2019,62,71.75,168.48800659179688,28.0,1.1843,2.5571,32.5824,103.75014,25.99231
os1901l2c062,2019,62,71.75,168.48800659179688,29.0,1.1829,2.5651,32.6148,102.59103,26.017578
os1901l2c062,2019,62,71.75,168.48800659179688,30.0,1.1815,2.5635,32.6215,102.105965,26.023071
os1901l2c062,2019,62,71.75,168.48800659179688,31.0,1.1813,2.5213,32.6271,102.31921,26.030884
os1901l2c062,2019,62,71.75,168.48800659179688,32.0,1.1805,2.4404,32.6268,103.310646,26.036987
os1901l2c062,2019,62,71.75,168.48800659179688,33.0,1.1801,2.3703,32.6354,103.32564,26.049438
os1901l2c062,2019,62,71.75,168.48800659179688,34.0,1.1795,2.3231,32.6349,103.53245,26.052734
os1901l2c062,2019,62,71.75,168.48800659179688,35.0,1.1787,2.2324,32.6319,103.932556,26.057373
os1901l2c062,2019,62,71.75,168.48800659179688,36.0,1.178,2.2734,32.6401,103.321526,26.060791
os1901l2c062,2019,62,71.75,168.48800659179688,37.0,1.178,2.2915,32.6429,102.97712,26.061646
os1901l2c062,2019,62,71.75,168.48800659179688,38.0,1.1781,2.306,32.6446,102.977196,26.061768
os1901l2c062,2019,62,71.75,168.48800659179688,39.0,1.1779,2.3101,32.6455,102.20089,26.062134
os1901l2c062,2019,62,71.75,168.48800659179688,40.0,1.1779,2.2958,32.6452,100.735405,26.06311
os1901l2c062,2019,62,71.75,168.48800659179688,41.0,1.1777,2.2113,32.6426,98.74932,26.067383
os1901l2c062,2019,62,71.75,168.48800659179688,42.0,1.1774,2.1368,32.6447,96.26068,26.074707
os1901l2c062,2019,62,71.75,168.48800659179688,43.0,1.177,2.0485,32.649,93.31727,26.084839
os1901l2c062,2019,62,71.75,168.48800659179688,44.0,1.1769,1.9846,32.6578,90.893555,26.096558
os1901l2c062,2019,62,71.75,168.48800659179688,45.0,1.1764,1.9914,32.6593,90.2537,26.097412
