StationID,Year,StationNumber,LatitudeStart DD,LongitudeStart DD,Depth (m),PARIrradiance uE,PrimaryTemperature deg. C,PrimarySalinity PSU,PrimaryOxygenSat %,SigmaTheta kg/m3
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,0.0,255.41,8.8102,31.9856,97.39541,24.787598
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,1.0,255.41,8.8102,31.9856,97.39541,24.787598
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,2.0,255.41,8.8102,31.9856,97.39541,24.787598
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,3.0,255.41,8.8102,31.9856,97.39541,24.787598
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,4.0,255.41,8.8102,31.9856,97.39542,24.787598
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,5.0,255.41,8.8102,31.9856,97.39542,24.787598
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,6.0,219.51,8.7797,32.0009,97.59363,24.8042
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,7.0,183.28,8.7105,32.0222,97.70747,24.831177
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,8.0,154.3,8.6629,32.0365,97.69219,24.849731
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,9.0,135.02,8.6872,32.043,97.6196,24.851196
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,10.0,118.55,8.6307,32.0502,97.56007,24.865356
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,11.0,102.26,8.5434,32.1059,97.39076,24.921997
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,12.0,89.302,8.409,32.1574,97.20083,24.9823
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,13.0,78.451,8.1766,32.172,97.59329,25.027954
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,14.0,68.487,7.9989,32.1834,97.98987,25.0625
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,15.0,60.037,7.8387,32.1874,97.97494,25.088623
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,16.0,53.18,7.8026,32.1903,97.369316,25.095947
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,17.0,47.892,7.7615,32.1956,96.21248,25.10608
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,18.0,43.368,7.4578,32.2,95.65886,25.151855
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,19.0,39.128,6.6498,32.2055,96.76009,25.263794
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,20.0,35.001,6.1644,32.216,97.59754,25.33313
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,21.0,31.074,5.8828,32.2214,97.54483,25.371582
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,22.0,27.805,5.7668,32.2514,97.11579,25.40918
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,23.0,24.986,5.4811,32.282,97.396835,25.466797
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,24.0,22.148,5.256,32.3087,99.172005,25.51355
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,25.0,19.487,5.0649,32.3384,100.507645,25.55835
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,26.0,17.246,4.9662,32.356,99.40993,25.583252
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,27.0,15.492,4.717,32.3829,97.24283,25.63147
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,28.0,13.895,4.4897,32.3993,94.68857,25.668457
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,29.0,12.529,4.437,32.4086,92.47705,25.681152
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,30.0,11.268,4.3583,32.4131,90.5907,25.692871
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,31.0,10.204,4.1842,32.4102,88.23524,25.70813
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,32.0,9.1981,4.1609,32.4197,86.862976,25.71814
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,33.0,7.8655,4.1492,32.4235,86.260216,25.72229
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,34.0,6.4808,4.1426,32.4256,85.78887,25.724487
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,35.0,5.3865,4.1384,32.4282,85.46048,25.726929
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,36.0,4.5167,4.1275,32.432,85.04349,25.731201
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,37.0,3.7509,4.1176,32.4367,84.62899,25.73584
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,38.0,3.0938,4.1094,32.441,84.100685,25.740112
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,39.0,2.6153,4.0954,32.4487,83.21122,25.747559
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,40.0,2.2597,4.0895,32.4529,82.45215,25.751587
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,41.0,1.9821,4.0824,32.458,81.96807,25.756348
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,42.0,1.7509,4.0813,32.4595,81.734505,25.757568
os1701Leg1c003,2019,3,70.01750183105469,166.84983825683594,43.0,1.5651,4.0879,32.4606,80.95306,25.757812
