StationID,Year,StationNumber,LatitudeStart DD,LongitudeStart DD,Depth (m),PARIrradiance uE,PrimaryTemperature deg. C,PrimarySalinity PSU,PrimaryOxygenSat %,SigmaTheta kg/m3
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,0.0,171.46,9.1663,30.1497,101.54864,23.297668
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,1.0,171.46,9.1663,30.1497,101.54864,23.297668
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,2.0,171.46,9.1663,30.1497,101.54864,23.297668
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,3.0,171.46,9.1663,30.1497,101.54864,23.297668
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,4.0,138.57,9.169,30.1494,101.21096,23.296997
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,5.0,106.34,9.1659,30.1494,100.99788,23.297485
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,6.0,85.325,9.1697,30.1497,100.78791,23.29712
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,7.0,66.82,9.1699,30.1503,101.3745,23.297607
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,8.0,55.151,9.1678,30.1507,101.38094,23.298218
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,9.0,45.977,9.1327,30.1553,101.07011,23.307068
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,10.0,38.294,9.1206,30.1588,101.31236,23.311707
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,11.0,1e+35,1e+35,1e+35,1e+35,1e+35
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,12.0,26.141,9.1118,30.1601,100.87259,23.314026
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,13.0,21.673,9.0718,30.1646,100.46274,23.323608
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,14.0,18.192,9.0443,30.1658,100.67345,23.328674
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,15.0,15.871,9.0208,30.1674,101.0247,23.333435
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,16.0,12.991,9.0126,30.17,101.0977,23.336731
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,17.0,11.279,8.998,30.182,100.61609,23.348328
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,18.0,9.5042,8.9475,30.223,100.11729,23.387878
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,19.0,8.3291,8.962,30.3341,97.04187,23.472717
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,20.0,7.2129,8.809,31.2761,96.29994,24.232422
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,21.0,6.2399,8.6342,31.4891,96.62335,24.425293
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,22.0,5.608,8.4555,31.6226,97.52666,24.556396
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,23.0,5.0078,8.4566,31.7595,97.84649,24.663452
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,24.0,4.6722,8.3035,31.8391,98.018265,24.748413
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,25.0,4.2672,8.3011,31.8988,99.43687,24.795532
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,26.0,3.9618,8.2999,31.9566,100.31838,24.841064
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,27.0,3.7033,8.289,31.9997,100.85274,24.876465
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,28.0,3.4657,8.2468,32.0318,100.64726,24.907837
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,29.0,3.2572,8.1814,32.0528,100.920425,24.933716
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,30.0,3.0841,8.1422,32.081,100.264145,24.961548
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,31.0,2.9212,7.9832,32.0832,99.10894,24.986206
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,32.0,2.7854,7.7801,32.0901,98.252106,25.020508
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,33.0,2.6478,7.529,32.1117,96.88348,25.072632
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,34.0,2.5308,7.1072,32.1139,95.12608,25.131714
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,35.0,2.4163,6.6708,32.1341,92.76343,25.204834
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,36.0,2.3117,6.2389,32.1442,90.4885,25.267212
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,37.0,2.2196,5.9936,32.1534,88.98464,25.304688
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,38.0,2.1333,5.5411,32.1645,82.416954,25.366943
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,39.0,2.0517,4.9689,32.1884,77.66183,25.450195
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,40.0,1.9851,4.4829,32.2197,74.19885,25.52649
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,41.0,1.8594,4.4389,32.227,72.93863,25.536865
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,42.0,1.5876,4.434,32.2309,72.777,25.540527
os1901l2c063,2019,63,71.7508316040039,166.89349365234375,43.0,1.3134,4.4328,32.2331,72.283745,25.542358
