,profile_id,latitude,longitude,time,Depth_max,S_max,S_min,S_surf,S_bot,S_mean,T_min,T_max,T_surf,T_bot,T_mean,MLD,Water_surf,Water_bot
93,os1901l2c063_ctd,71.75083000000001,193.1065,2019-09-06 20:55:37+00:00,42.55594926578966,32.2331,30.1494,30.149600000000003,32.2106,31.19373720930233,4.4328,9.1699,9.166683333333333,4.716433333333334,7.968609302325581,17.5,6,5.0
94,os1901l2c064_ctd,71.755165,194.6875,2019-09-07 15:00:29+00:00,36.61843420130352,32.384,31.0518,31.053683333333336,32.32625000000001,31.58487894736843,1.8001,7.8087,7.7243666666666675,2.2394166666666666,5.718694736842106,18.5,6,5.0
95,os1901l2c065_ctd,71.749664,196.30583000000001,2019-09-07 21:19:07+00:00,35.628844018490625,32.3239,30.6792,30.67956666666667,32.321600000000004,31.47094594594594,0.1628,7.0704,7.047833333333332,0.18513333333333332,4.340175675675677,9.0,6,5.0
96,os1901l2c066_ctd,71.7515,198.0095,2019-09-08 14:58:27+00:00,38.59762948803112,32.3904,29.5341,29.53503333333333,32.38616666666667,30.914625,-0.0889,6.0207,6.016216666666666,-0.08708333333333332,3.17231,18.0,1,2.0
97,os1901l2c067_ctd,71.75083000000001,199.60234,2019-09-08 20:41:12+00:00,43.54551685387054,32.3172,29.6317,29.633066666666664,32.307116666666666,30.98463720930232,-0.856,5.915,5.8971833333333326,-0.3780666666666667,2.343272093023257,15.0,1,2.0
98,os1901l2c068_ctd,71.7525,201.20134,2019-09-09 14:56:54+00:00,49.48281704305188,32.4245,29.7051,29.708316666666665,32.42235,31.268311764705892,-1.3903,5.1935,5.182516666666666,-1.0149166666666667,1.327709803921569,16.0,1,3.0
99,os1901l2c069_ctd,71.750336,202.79883,2019-09-09 19:22:18+00:00,60.3674331994488,32.3056,29.6628,29.66338333333333,32.3039,31.203780327868852,-1.4152,6.5237,6.5145333333333335,-1.4079166666666667,1.8040672131147537,7.0,1,2.0
100,os1901l2c070_ctd,70.252335,195.90767,2019-09-10 16:01:57+00:00,32.66279381357066,32.1718,29.8567,29.877383333333334,32.17113333333333,31.04970303030303,7.8022,10.6983,10.668,7.803733333333334,9.530160606060603,9.0,6,6.0
101,os1901l2c071_ctd,70.2495,194.50734,2019-09-10 21:38:41+00:00,39.590599347451075,32.18,30.3454,30.345533333333336,32.162,31.248597560975607,5.9596,10.6604,10.654133333333332,6.015999999999999,8.596590243902444,11.0,6,5.0
102,os1901l2c072_ctd,70.24834,193.00233,2019-09-11 14:57:48+00:00,40.580268636514965,32.6852,30.675,30.682166666666664,32.37205,31.59972195121952,4.3923,9.9202,9.914616666666666,5.685716666666668,8.138031707317072,10.0,6,5.0
103,os1901l2c073_ctd,70.25066,191.5025,2019-09-11 22:25:41+00:00,39.590596647619144,32.5966,-9.990000000000001e-29,31.69308333333333,32.58056666666666,31.396397560975622,-9.990000000000001e-29,8.9726,8.968766666666664,2.2119166666666668,5.154473170731707,,6,5.0
104,os1901l3c074_ctd,69.5,191.533,2019-09-17 17:03:17+00:00,47.50992340485146,32.2623,28.1615,28.16235,32.10006666666667,30.071320408163253,4.907,10.4844,10.394683333333333,5.56,8.873391836734694,22.0,6,5.0
105,os1901l3c075_ctd,69.5005,192.90184,2019-09-17 21:10:55+00:00,42.56148805647501,31.8926,29.4147,29.4185,31.7889,30.329783720930227,6.7768,10.2555,10.237116666666667,7.127266666666667,9.370727906976743,24.5,6,6.0
106,os1901l3c076_ctd,69.49367,194.26033,2019-09-18 16:49:37+00:00,32.66427368432954,31.203000000000003,29.6896,29.68993333333333,30.80785,29.89208235294118,8.8478,10.202,10.105583333333334,9.39085,9.989397058823528,29.0,6,6.0
107,os1901l3c077_ctd,69.499664,195.79433,2019-09-18 22:38:04+00:00,19.797146912785013,30.903000000000002,29.886,29.88755,30.1402,29.959623809523805,9.2554,9.7795,9.262933333333333,9.403433333333332,9.300585714285717,18.5,6,6.0
108,os1901l3c078_ctd,68.76100000000001,192.91267,2019-09-19 16:59:30+00:00,38.60441086578214,31.6221,28.4687,28.5418,31.595766666666666,30.337640000000004,7.9438,10.8429,10.222833333333334,8.126700000000001,9.553042500000002,10.0,6,6.0
