StationID,Year,ArcticEis_Station,StationNumber,EventStartDate (GMT),Latitude,Longitude,LatitudeStart DD,LongitudeStart DD,BottomDepth (m),Depth (m),PrimarySalinity PSU,PrimaryTemperature deg. C,ChlorophyllA ug/L,BeamTransmisson %,PARIrradiance uE,PrimaryOxygenSat %,SigmaTheta kg/m3,PO4 uM,SiO4 uM,NO3 uM,NO2 uM,NH4 uM
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,4,29.6848,11.64797,,,87.645,,22.5282,,,,,
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,3,29.5201,12.1851,,,114.15,,22.30413,,,,,
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,2,29.45365,12.4727,,,150.61,,22.19991,,,,,
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,0,29.3872,12.7603,,,967.54,,22.09492,,,,,
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,1,29.3872,12.7603,,,316.18,,22.09495,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,17,31.3171,5.697,,,0.31737,,24.67938,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,23,31.5756,5.9806,,,0.16263,,24.85035,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,16,31.1979,6.031177,,,0.41546,,24.5461,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,18,31.4169,6.2558,,,0.276745,,24.69185,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,22,31.5904,6.26885,,,0.16971,,24.82715,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,19,31.4578,6.3163,,,0.23612,,24.71671,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,15,31.0787,6.365355,,,0.486115,,24.41173,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,20,31.5905,6.3975,,,0.20229,,24.81133,0.312,3.4,0,0.02,0.06
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,21,31.6052,6.5571,,,0.186,,24.80297,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,14,30.9595,6.699533,,,0.55677,,24.27626,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,13,30.8403,7.03371,,,0.6029367,,24.13972,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,12,30.7211,7.367888,,,0.6491033,,24.0021,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,11,30.6019,7.702066,,,0.69527,,23.86341,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,10,30.4827,8.036244,,,0.77243,,23.72367,0.257,3.3,0,0.01,0.12
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,9,30.3635,8.370422,,,0.95725,,23.58287,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,8,30.2443,8.7046,,,1.3855,,23.44103,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,15,30.471,8.6331,,,1.8994,,23.62904,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,14,30.2652,8.8458,,,2.0039,,23.43662,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,13,29.9928,9.0659,,,2.2585,,23.19076,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,12,29.7961,9.2125,,,2.7571,,23.01494,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,1,29.7713,9.2153,,,37.801,,22.99497,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,2,29.7719,9.2161,,,22.426,,22.99533,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,9,29.7834,9.2165,,,4.4325,,23.00437,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,10,29.7851,9.2172,,,3.768,,23.0056,0.339,5.2,0,0.02,0.12
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,8,29.7822,9.2173,,,5.351,,23.00329,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,6,29.7773,9.2174,,,8.2387,,22.99942,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,5,29.777,9.218,,,10.453,,22.99908,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,7,29.7795,9.2183,,,6.616,,23.00102,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,0,29.7696,9.2193,,,101.36,,22.99302,0.354,5.2,0.1,0.03,0.35
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,11,29.7895,9.22,,,3.3494,,23.00863,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,3,29.7741,9.2205,,,16.661,,22.9964,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,4,29.7762,9.221,,,11.923,,22.99798,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,28,32.0605,2.2326,,,1.4877,,25.60031,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,27,32.0604,2.2332,,,1.868,,25.60018,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,26,32.0609,2.235,,,2.404,,25.60045,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,25,32.0603,2.23645,,,3.1627,,25.59986,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,24,32.0597,2.2379,,,3.9214,,25.59926,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,23,32.0597,2.2409,,,4.7268,,25.59903,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,22,32.0592,2.2441,,,5.7601,,25.59839,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,21,32.0597,2.2457,,,8.0201,,25.59867,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,20,32.0597,2.2502,,,9.60755,,25.59833,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,19,32.0597,2.2547,,,11.195,,25.59799,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,18,32.0605,2.2633,,,15.837,,25.59798,,,,,
