time,pressure,latitude,longitude,S_42,S_41,T_28,T2_35,profile_id
UTC,dbar,degrees_north,degrees_east,PSU,PSU,C,C,
2019-08-07T14:24:30Z,9.0,64.156166,188.49184,30.8341,30.8988,9.3252,9.4106,os1901l1c002_ctd
2019-08-07T14:24:30Z,10.0,64.156166,188.49184,31.134,31.1287,8.8926,8.8931,os1901l1c002_ctd
2019-08-07T14:24:30Z,11.0,64.156166,188.49184,31.1753,31.1809,8.7388,8.7366,os1901l1c002_ctd
2019-08-07T14:24:30Z,12.0,64.156166,188.49184,31.298,31.301,8.9197,8.9184,os1901l1c002_ctd
2019-08-07T14:24:30Z,13.0,64.156166,188.49184,31.359,31.3645,8.9133,8.9286,os1901l1c002_ctd
2019-08-07T14:24:30Z,14.0,64.156166,188.49184,31.3564,31.3598,8.7561,8.764,os1901l1c002_ctd
2019-08-07T14:24:30Z,15.0,64.156166,188.49184,31.414,31.4479,8.0911,8.1426,os1901l1c002_ctd
2019-08-07T14:24:30Z,16.0,64.156166,188.49184,31.6915,31.7464,6.5154,6.6704,os1901l1c002_ctd
2019-08-07T14:24:30Z,17.0,64.156166,188.49184,32.0664,32.0963,5.0239,5.0907,os1901l1c002_ctd
2019-08-07T14:24:30Z,18.0,64.156166,188.49184,32.2416,32.2813,4.1221,4.2716,os1901l1c002_ctd
2019-08-07T14:24:30Z,19.0,64.156166,188.49184,32.4067,32.4113,3.5403,3.5182,os1901l1c002_ctd
2019-08-07T14:24:30Z,20.0,64.156166,188.49184,32.534,32.5333,2.7766,2.7455,os1901l1c002_ctd
2019-08-07T14:24:30Z,21.0,64.156166,188.49184,32.5779,32.5799,2.4381,2.4488,os1901l1c002_ctd
2019-08-07T14:24:30Z,22.0,64.156166,188.49184,32.6389,32.627,2.2621,2.1808,os1901l1c002_ctd
2019-08-07T14:24:30Z,23.0,64.156166,188.49184,32.6496,32.6582,2.1014,2.1122,os1901l1c002_ctd
2019-08-07T14:24:30Z,24.0,64.156166,188.49184,32.6842,32.6894,1.8823,1.9435,os1901l1c002_ctd
2019-08-07T14:24:30Z,25.0,64.156166,188.49184,32.7095,32.7096,1.8278,1.8218,os1901l1c002_ctd
2019-08-07T14:24:30Z,26.0,64.156166,188.49184,32.7131,32.7148,1.8088,1.8063,os1901l1c002_ctd
2019-08-07T14:24:30Z,27.0,64.156166,188.49184,32.7197,32.7247,1.7625,1.7638,os1901l1c002_ctd
2019-08-07T14:24:30Z,28.0,64.156166,188.49184,32.7231,32.7251,1.7778,1.7724,os1901l1c002_ctd
2019-08-07T14:24:30Z,29.0,64.156166,188.49184,32.7249,32.7253,1.7891,1.7783,os1901l1c002_ctd
2019-08-07T14:24:30Z,30.0,64.156166,188.49184,32.7253,32.7285,1.7714,1.7717,os1901l1c002_ctd
2019-08-07T14:24:30Z,31.0,64.156166,188.49184,32.7261,32.7299,1.7672,1.7692,os1901l1c002_ctd
2019-08-07T14:24:30Z,32.0,64.156166,188.49184,32.7271,32.7286,1.7847,1.7774,os1901l1c002_ctd
2019-08-07T14:24:30Z,33.0,64.156166,188.49184,32.7256,32.7293,1.7872,1.7879,os1901l1c002_ctd
2019-08-07T14:24:30Z,34.0,64.156166,188.49184,32.7249,32.7283,1.7771,1.7828,os1901l1c002_ctd
2019-08-07T14:24:30Z,35.0,64.156166,188.49184,32.731,32.734,1.7264,1.7303,os1901l1c002_ctd
2019-08-07T14:24:30Z,36.0,64.156166,188.49184,32.7324,32.7343,1.7198,1.7187,os1901l1c002_ctd
2019-08-07T14:24:30Z,37.0,64.156166,188.49184,32.7313,32.7328,1.7219,1.7197,os1901l1c002_ctd
2019-08-07T14:24:30Z,38.0,64.156166,188.49184,32.727,32.7318,1.7202,1.7182,os1901l1c002_ctd
2019-08-07T14:24:30Z,39.0,64.156166,188.49184,32.7292,32.7306,1.7227,1.7217,os1901l1c002_ctd
2019-08-07T14:24:30Z,40.0,64.156166,188.49184,32.7289,32.7299,1.7185,1.7178,os1901l1c002_ctd
2019-08-07T22:48:13Z,0.0,64.927,190.07784,32.9272,32.9279,3.8149,3.8123,os1901l1c003_ctd
2019-08-07T22:48:13Z,1.0,64.927,190.07784,32.9272,32.9279,3.8149,3.8123,os1901l1c003_ctd
2019-08-07T22:48:13Z,2.0,64.927,190.07784,32.9272,32.9279,3.8149,3.8123,os1901l1c003_ctd
2019-08-07T22:48:13Z,3.0,64.927,190.07784,32.9272,32.9281,3.8228,3.8221,os1901l1c003_ctd
2019-08-07T22:48:13Z,4.0,64.927,190.07784,32.928,32.9285,3.8361,3.8332,os1901l1c003_ctd
2019-08-07T22:48:13Z,5.0,64.927,190.07784,32.9269,32.9284,3.8536,3.8528,os1901l1c003_ctd
2019-08-07T22:48:13Z,6.0,64.927,190.07784,32.9268,32.9288,3.8295,3.8209,os1901l1c003_ctd
2019-08-07T22:48:13Z,7.0,64.927,190.07784,32.9276,32.9288,3.8073,3.8016,os1901l1c003_ctd
2019-08-07T22:48:13Z,8.0,64.927,190.07784,32.928,32.9278,3.8199,3.8256,os1901l1c003_ctd
2019-08-07T22:48:13Z,9.0,64.927,190.07784,32.9208,32.9283,3.7883,3.7944,os1901l1c003_ctd
2019-08-07T22:48:13Z,10.0,64.927,190.07784,32.925,32.9259,3.5955,3.6264,os1901l1c003_ctd
2019-08-07T22:48:13Z,11.0,64.927,190.07784,32.9264,32.9269,3.4963,3.479,os1901l1c003_ctd
2019-08-07T22:48:13Z,12.0,64.927,190.07784,32.9225,32.9264,3.2867,3.2288,os1901l1c003_ctd
2019-08-07T22:48:13Z,13.0,64.927,190.07784,32.9264,32.9288,2.968,2.9554,os1901l1c003_ctd
2019-08-07T22:48:13Z,14.0,64.927,190.07784,32.9289,32.93,2.881,2.875,os1901l1c003_ctd
2019-08-07T22:48:13Z,15.0,64.927,190.07784,32.931,32.9326,2.8244,2.822,os1901l1c003_ctd
2019-08-07T22:48:13Z,16.0,64.927,190.07784,32.9335,32.9352,2.7911,2.7899,os1901l1c003_ctd
2019-08-07T22:48:13Z,17.0,64.927,190.07784,32.9334,32.9355,2.7483,2.748,os1901l1c003_ctd
2019-08-07T22:48:13Z,18.0,64.927,190.07784,32.9364,32.9379,2.6998,2.6992,os1901l1c003_ctd
2019-08-07T22:48:13Z,19.0,64.927,190.07784,32.9368,32.9381,2.6682,2.6622,os1901l1c003_ctd
2019-08-07T22:48:13Z,20.0,64.927,190.07784,32.9377,32.9387,2.6492,2.6469,os1901l1c003_ctd
2019-08-07T22:48:13Z,21.0,64.927,190.07784,32.9383,32.9395,2.6439,2.6438,os1901l1c003_ctd
2019-08-07T22:48:13Z,22.0,64.927,190.07784,32.9383,32.9391,2.6259,2.6258,os1901l1c003_ctd
2019-08-07T22:48:13Z,23.0,64.927,190.07784,32.9387,32.9396,2.5976,2.5975,os1901l1c003_ctd
