,StationID,MAST_Station,MAST_Latdd,MAST_Longdd,Station,Gear,Year,Depth.bot,Temp.surf,Sal.surf,DIN.surf,Water.surf,Temp.bot,Sal.bot,DIN.bot,Water.bot,MeanStrat,IntChla,phi5,TOC,MLD
27,CH-I03-2012,CH-I03,70.0,-165.578095838008,53.0,CTD,2012,41.0,7.292999999999998,31.314,-0.385662481,6.0,6.859,31.52,1.10856262,5.0,0.08769038400000001,3.730501129,6.4311740760000005,0.49,20.0
28,CH-I04-2012,CH-I04,70.0,-164.135295,50.0,CTD,2012,32.0,7.471,31.111,0.067658648,6.0,6.676,31.334,0.494696242,5.0,0.101072619,3.234749174,3.367491648,0.16,9.5
29,CH-J01-2012,CH-J01,70.5,-168.5,59.0,CTD,2012,40.0,6.059,31.125,-0.994252273,5.0,-0.417,32.815,-0.597837001,3.0,0.149961467,1.774952351,8.900675012,1.153881359,10.0
30,CH-J02-2012,CH-J02,70.5,-167.003099320258,61.0,CTD,2012,50.0,5.6320000000000014,29.927,0.494696242,5.0,1.789,32.595,1.115141591,5.0,0.151077229,2.587764035,3.78153408,0.78,3.5
31,CH-J03-2012,CH-J03,70.5,-165.506198640516,65.0,CTD,2012,43.0,5.92,31.948,-0.356674944,5.0,3.723,32.234,0.048790164,5.0,0.105639714,3.663561646,8.560373824,0.81,11.0
32,CH-J04-2012,CH-J04,70.5,-164.009297960774,68.0,CTD,2012,43.0,6.7,31.666,-0.867500568,5.0,5.086,31.999,0.457424847,5.0,0.101883609,3.817712326,6.190246127000001,0.583685172,17.0
33,CH-J05-2012,CH-J05,70.5,-162.512397281032,71.0,CTD,2012,34.0,7.646,30.902,0.858661619,6.0,6.3660000000000005,31.5,0.542324291,5.0,0.11882099,3.4719664530000003,4.765501023000001,0.28,2.5
34,CH-J06-2012,CH-J06,70.5,-161.00060166666663,73.0,CTD,2012,25.0,9.164,28.646,0.009950331,6.0,8.227,29.894,-0.139262067,6.0,0.150573737,3.310543013,2.594650514,0.467689918,11.0
35,CH-K01-2012,CH-K01,71.0,-168.5,92.0,CTD,2012,47.0,5.615,30.523000000000003,-0.733969175,5.0,-0.328,33.034,2.1306098280000003,3.0,0.15457459199999998,2.9231615810000005,9.024965373999999,1.19,15.5
36,CH-K02-2012,CH-K02,71.0,-166.9652170796879,88.0,CTD,2012,46.0,6.07,31.735,-1.108662625,5.0,1.241,32.57,1.648658626,5.0,0.128158794,2.862200881,9.125787637,0.86,17.0
