time,pressure,latitude,longitude,S_42,S_41,T_28,T2_35,profile_id
UTC,dbar,degrees_north,degrees_east,PSU,PSU,C,C,
2019-09-17T17:03:17Z,0.0,69.5,191.533,28.164,28.1626,10.3958,10.3956,os1901l3c074_ctd
2019-09-17T17:03:17Z,1.0,69.5,191.533,28.164,28.1626,10.3958,10.3956,os1901l3c074_ctd
2019-09-17T17:03:17Z,2.0,69.5,191.533,28.164,28.1626,10.3958,10.3956,os1901l3c074_ctd
2019-09-17T17:03:17Z,3.0,69.5,191.533,28.164,28.1626,10.3958,10.3956,os1901l3c074_ctd
2019-09-17T17:03:17Z,4.0,69.5,191.533,28.1641,28.162,10.3905,10.3929,os1901l3c074_ctd
2019-09-17T17:03:17Z,5.0,69.5,191.533,28.1636,28.1617,10.3944,10.3939,os1901l3c074_ctd
2019-09-17T17:03:17Z,6.0,69.5,191.533,28.163,28.1615,10.3967,10.3972,os1901l3c074_ctd
2019-09-17T17:03:17Z,7.0,69.5,191.533,28.1636,28.1619,10.3981,10.3982,os1901l3c074_ctd
2019-09-17T17:03:17Z,8.0,69.5,191.533,28.1657,28.164,10.4001,10.4009,os1901l3c074_ctd
2019-09-17T17:03:17Z,9.0,69.5,191.533,28.1666,28.1649,10.4,10.3997,os1901l3c074_ctd
2019-09-17T17:03:17Z,10.0,69.5,191.533,28.1685,28.1663,10.4011,10.4008,os1901l3c074_ctd
2019-09-17T17:03:17Z,11.0,69.5,191.533,28.1672,28.1656,10.4009,10.401,os1901l3c074_ctd
2019-09-17T17:03:17Z,12.0,69.5,191.533,28.1674,28.1657,10.3996,10.3999,os1901l3c074_ctd
2019-09-17T17:03:17Z,13.0,69.5,191.533,28.1682,28.1665,10.401,10.4011,os1901l3c074_ctd
2019-09-17T17:03:17Z,14.0,69.5,191.533,28.1716,28.1675,10.4007,10.402,os1901l3c074_ctd
2019-09-17T17:03:17Z,15.0,69.5,191.533,28.171,28.1697,10.4023,10.4018,os1901l3c074_ctd
2019-09-17T17:03:17Z,16.0,69.5,191.533,28.1708,28.1704,10.4023,10.4021,os1901l3c074_ctd
2019-09-17T17:03:17Z,17.0,69.5,191.533,28.1838,28.1816,10.405,10.4046,os1901l3c074_ctd
2019-09-17T17:03:17Z,18.0,69.5,191.533,28.1996,28.1969,10.4042,10.4036,os1901l3c074_ctd
2019-09-17T17:03:17Z,19.0,69.5,191.533,28.2148,28.2115,10.4026,10.4021,os1901l3c074_ctd
2019-09-17T17:03:17Z,20.0,69.5,191.533,28.6702,28.5884,10.45,10.4545,os1901l3c074_ctd
2019-09-17T17:03:17Z,21.0,69.5,191.533,29.7125,29.6635,10.4844,10.4727,os1901l3c074_ctd
2019-09-17T17:03:17Z,22.0,69.5,191.533,30.0782,30.0435,10.3039,10.2852,os1901l3c074_ctd
2019-09-17T17:03:17Z,23.0,69.5,191.533,30.583,30.5396,9.7926,9.7537,os1901l3c074_ctd
2019-09-17T17:03:17Z,24.0,69.5,191.533,30.8366,30.8194,9.6213,9.6119,os1901l3c074_ctd
2019-09-17T17:03:17Z,25.0,69.5,191.533,31.0083,30.9902,9.5661,9.5533,os1901l3c074_ctd
2019-09-17T17:03:17Z,26.0,69.5,191.533,31.2309,31.2065,9.1254,9.042,os1901l3c074_ctd
2019-09-17T17:03:17Z,27.0,69.5,191.533,31.389,31.3817,8.5283,8.4979,os1901l3c074_ctd
2019-09-17T17:03:17Z,28.0,69.5,191.533,31.4503,31.4471,8.3242,8.3131,os1901l3c074_ctd
2019-09-17T17:03:17Z,29.0,69.5,191.533,31.4729,31.468,8.2553,8.2429,os1901l3c074_ctd
2019-09-17T17:03:17Z,30.0,69.5,191.533,31.5022,31.497,8.1752,8.1621,os1901l3c074_ctd
2019-09-17T17:03:17Z,31.0,69.5,191.533,31.5308,31.5261,8.0931,8.0838,os1901l3c074_ctd
2019-09-17T17:03:17Z,32.0,69.5,191.533,31.5638,31.5585,8.0288,8.0215,os1901l3c074_ctd
2019-09-17T17:03:17Z,33.0,69.5,191.533,31.5789,31.5758,7.9988,7.9936,os1901l3c074_ctd
2019-09-17T17:03:17Z,34.0,69.5,191.533,31.5832,31.5815,7.9816,7.9804,os1901l3c074_ctd
2019-09-17T17:03:17Z,35.0,69.5,191.533,31.5848,31.583,7.9759,7.9745,os1901l3c074_ctd
2019-09-17T17:03:17Z,36.0,69.5,191.533,31.5989,31.5916,7.8967,7.8645,os1901l3c074_ctd
2019-09-17T17:03:17Z,37.0,69.5,191.533,31.6362,31.6312,7.6998,7.67,os1901l3c074_ctd
2019-09-17T17:03:17Z,38.0,69.5,191.533,31.6744,31.6695,7.5,7.467,os1901l3c074_ctd
2019-09-17T17:03:17Z,39.0,69.5,191.533,31.7434,31.7296,7.1907,7.1216,os1901l3c074_ctd
2019-09-17T17:03:17Z,40.0,69.5,191.533,31.7973,31.7913,6.9063,6.8819,os1901l3c074_ctd
2019-09-17T17:03:17Z,41.0,69.5,191.533,31.8053,31.8024,6.8384,6.8268,os1901l3c074_ctd
2019-09-17T17:03:17Z,42.0,69.5,191.533,31.8279,31.8208,6.7167,6.6817,os1901l3c074_ctd
2019-09-17T17:03:17Z,43.0,69.5,191.533,31.8727,31.8679,6.5045,6.4848,os1901l3c074_ctd
2019-09-17T17:03:17Z,44.0,69.5,191.533,31.9049,31.8959,6.3607,6.3152,os1901l3c074_ctd
2019-09-17T17:03:17Z,45.0,69.5,191.533,32.1049,32.0782,5.7025,5.5786,os1901l3c074_ctd
2019-09-17T17:03:17Z,46.0,69.5,191.533,32.2559,32.2449,4.9495,4.8922,os1901l3c074_ctd
2019-09-17T17:03:17Z,47.0,69.5,191.533,32.256,32.2512,4.9358,4.9229,os1901l3c074_ctd
2019-09-17T17:03:17Z,48.0,69.5,191.533,32.2655,32.2623,4.907,4.9044,os1901l3c074_ctd
2019-09-17T21:10:55Z,0.0,69.5005,192.90184,29.4206,29.4193,10.2394,10.2389,os1901l3c075_ctd
2019-09-17T21:10:55Z,1.0,69.5005,192.90184,29.4206,29.4193,10.2394,10.2389,os1901l3c075_ctd
2019-09-17T21:10:55Z,2.0,69.5005,192.90184,29.4206,29.4193,10.2394,10.2389,os1901l3c075_ctd
2019-09-17T21:10:55Z,3.0,69.5005,192.90184,29.4206,29.4193,10.2394,10.2389,os1901l3c075_ctd
2019-09-17T21:10:55Z,4.0,69.5005,192.90184,29.4187,29.4185,10.2337,10.2338,os1901l3c075_ctd
2019-09-17T21:10:55Z,5.0,69.5005,192.90184,29.4166,29.4153,10.2314,10.2314,os1901l3c075_ctd
2019-09-17T21:10:55Z,6.0,69.5005,192.90184,29.4174,29.4158,10.2334,10.2334,os1901l3c075_ctd
2019-09-17T21:10:55Z,7.0,69.5005,192.90184,29.4165,29.4151,10.2339,10.2344,os1901l3c075_ctd
2019-09-17T21:10:55Z,8.0,69.5005,192.90184,29.4162,29.4147,10.2405,10.2401,os1901l3c075_ctd
2019-09-17T21:10:55Z,9.0,69.5005,192.90184,29.4163,29.4151,10.242,10.2419,os1901l3c075_ctd
2019-09-17T21:10:55Z,10.0,69.5005,192.90184,29.418,29.4165,10.2436,10.2434,os1901l3c075_ctd
2019-09-17T21:10:55Z,11.0,69.5005,192.90184,29.4167,29.4161,10.2431,10.2421,os1901l3c075_ctd
2019-09-17T21:10:55Z,12.0,69.5005,192.90184,29.4167,29.4158,10.2428,10.2426,os1901l3c075_ctd
