Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2)
66.003,-167.28,15.358,0.64479,0.18069,5.6348e-08,1.4833e-07,7.416e-08,0.0001326
66.01,-167.29,16.038,3.8674,1.5767,3.4051e-07,8.9634e-07,4.4815e-07,0.00080128
66.016,-167.3,16.649,4.4892,0.32911,3.9853e-07,1.0491e-06,5.2452e-07,0.00093783
66.023,-167.31,17.28,3.8782,0.35125,3.4211e-07,9.0055e-07,4.5025e-07,0.00080505
66.03,-167.32,17.884,7.6777,0.008003,6.8358e-07,1.7994e-06,8.9967e-07,0.0016086
66.036,-167.34,18.577,5.1975,0.062837,4.6656e-07,1.2282e-06,6.1404e-07,0.0010979
66.043,-167.35,19.332,3.3307,0.001022,2.992e-07,7.8761e-07,3.9378e-07,0.00070408
66.049,-167.36,19.61,12.698,0.088984,1.1214e-06,2.9519e-06,1.4759e-06,0.0026388
66.147,-167.41,23.453,10.772,0.067145,9.8159e-07,2.5839e-06,1.2919e-06,0.0023099
66.154,-167.4,23.62,850.64,0.013491,8.0442e-05,0.00021175,0.00010587,0.1893
66.162,-167.39,23.82,76.661,0.5673,6.9219e-06,1.8221e-05,9.1101e-06,0.016289
66.169,-167.38,23.994,26.044,2.1171,2.3947e-06,6.3037e-06,3.1517e-06,0.0056351
66.176,-167.37,24.173,12.308,1.4275,1.1359e-06,2.9902e-06,1.495e-06,0.002673
66.183,-167.36,24.364,11.139,1.183,1.0463e-06,2.7541e-06,1.377e-06,0.0024621
66.19,-167.35,24.628,23.63,0.007692,2.1869e-06,5.7568e-06,2.8783e-06,0.0051463
66.196,-167.34,24.818,47.999,2.2398,4.535e-06,1.1938e-05,5.9686e-06,0.010672
66.202,-167.32,25.126,68.884,1.4484,6.181e-06,1.6271e-05,8.1349e-06,0.014545
66.207,-167.31,25.421,20.793,0.74918,1.9436e-06,5.1162e-06,2.558e-06,0.0045736
66.211,-167.29,25.656,28.488,0.34077,2.7025e-06,7.114e-06,3.5568e-06,0.0063595
66.216,-167.27,25.829,91.835,0.40104,8.6958e-06,2.2891e-05,1.1445e-05,0.020463
66.22,-167.25,26.041,203.13,2.1123,1.8784e-05,4.9446e-05,2.4722e-05,0.044202
66.224,-167.23,26.138,42.718,0.18835,3.8652e-06,1.0175e-05,5.0871e-06,0.0090956
66.228,-167.22,26.146,19.105,2.8843,1.763e-06,4.641e-06,2.3204e-06,0.0041488
66.231,-167.2,26.076,20.087,3.542,1.8609e-06,4.8984e-06,2.4491e-06,0.004379
66.235,-167.18,25.917,96.503,0.21111,8.5966e-06,2.2629e-05,1.1314e-05,0.020229
66.239,-167.16,25.704,16.101,5.4849,1.4882e-06,3.9174e-06,1.9586e-06,0.0035019
66.242,-167.14,25.461,17.267,0.98477,1.6025e-06,4.2183e-06,2.1091e-06,0.003771
66.246,-167.12,25.158,27.964,1.5676,2.5995e-06,6.8429e-06,3.4213e-06,0.0061172
66.25,-167.11,24.811,344.57,1.5262,3.2582e-05,8.5768e-05,4.2882e-05,0.076672
66.254,-167.09,24.39,115.14,2.4986,1.0858e-05,2.8582e-05,1.429e-05,0.025551
66.258,-167.07,24.007,24.808,0.057633,2.2854e-06,6.016e-06,3.0078e-06,0.005378
66.262,-167.05,23.602,16.14,0.0403,1.4908e-06,3.9242e-06,1.962e-06,0.003508
66.266,-167.03,23.174,25.924,2.8966,2.3591e-06,6.21e-06,3.1048e-06,0.0055514
66.271,-167.02,22.753,11.349,1.1373,1.0477e-06,2.758e-06,1.3789e-06,0.0024655
66.275,-167,22.394,26.034,4.2816,2.4019e-06,6.3227e-06,3.1612e-06,0.0056521
66.28,-166.98,21.965,13.13,0.12235,1.1784e-06,3.1021e-06,1.551e-06,0.0027731
66.284,-166.96,21.541,13.246,0.32264,1.1862e-06,3.1224e-06,1.5611e-06,0.0027913
66.289,-166.95,21.129,23.755,0.79519,2.1304e-06,5.608e-06,2.8038e-06,0.0050132
66.293,-166.93,20.659,28.967,0.83924,2.6278e-06,6.9173e-06,3.4585e-06,0.0061837
66.297,-166.91,20.235,38.286,0.026599,3.4774e-06,9.1538e-06,4.5767e-06,0.008183
66.302,-166.89,19.752,48.419,0.016115,4.4208e-06,1.1637e-05,5.8183e-06,0.010403
66.552,-165.97,19.036,6.9937,0.004198,0,0.0013463,0.0015242,5.4591e-05
66.558,-165.96,19.16,6.4541,1.8342,0,0.0012413,0.0014053,5.0333e-05
66.563,-165.94,19.16,11.231,1.3865,0,0.00216,0.0024454,8.7587e-05
66.548,-165.74,17.517,5.1131,1.8753,0,0.00098323,0.0011131,3.9869e-05
66.544,-165.76,17.59,4.3899,8.7689,0,0.00084428,0.00095583,3.4235e-05
66.54,-165.78,17.719,15.862,3.2104,0,0.0030501,0.0034531,0.00012368
66.537,-165.79,17.801,3.8537,1.7634,0,0.00074129,0.00083923,3.0058e-05
66.533,-165.81,17.827,25.152,0.62019,4.0668e-06,0.0031506,0.0035669,0.0018022
66.53,-165.83,17.861,2.3384,2.3889,0,0.00044956,0.00050896,1.8229e-05
66.526,-165.85,17.672,38.013,1.8518,0,0.0073013,0.008266,0.00029606
66.523,-165.87,17.544,8.4276,0.7855,0,0.0016215,0.0018358,6.5751e-05
66.519,-165.89,17.388,10.603,2.634,0,0.0020393,0.0023087,8.269e-05
66.515,-165.91,17.076,12.269,5.6491,0,0.0023611,0.002673,9.574e-05
66.512,-165.93,16.981,11.426,1.4679,0,0.0021996,0.0024902,8.9191e-05
66.508,-165.95,16.902,6.8819,11.77,0,0.0013237,0.0014986,5.3676e-05
66.505,-165.97,16.886,9.1394,3.4597,0,0.0017581,0.0019904,7.129e-05
66.502,-165.98,16.947,28.22,2.8492,0,0.0054258,0.0061427,0.00022001
66.501,-166,17.195,19.778,1.5624,0,0.0038083,0.0043115,0.00015443
66.5,-166.03,17.463,22.903,0.79361,0,0.0044136,0.0049967,0.00017897
66.499,-166.05,17.477,16.731,0.83848,0,0.0032207,0.0036462,0.0001306
66.499,-166.07,17.737,12.515,5.3346,0,0.0024088,0.002727,9.7674e-05
66.5,-166.09,17.758,6.625,0.52297,0,0.0012748,0.0014432,5.1691e-05
66.5,-166.11,17.897,2.6585,0.68297,0,0.0005119,0.00057954,2.0757e-05
66.499,-166.13,17.984,7.2038,0.068782,0,0.0013858,0.0015689,5.6193e-05
66.499,-166.15,18.01,3.2645,0.054929,0,0.00062635,0.00070911,2.5398e-05
66.499,-166.17,18.043,1.9926,0.083775,0,0.00038332,0.00043397,1.5543e-05
66.499,-166.19,17.95,6.2856,0.055795,0,0.0012092,0.0013689,4.903e-05
66.499,-166.21,17.692,2.5412,0.085999,0,0.00048873,0.0005533,1.9818e-05
66.5,-166.23,17.37,4.5403,0.26358,0,0.00087376,0.00098921,3.543e-05
66.5,-166.25,17.1,5.1122,0.56746,0,0.00098262,0.0011124,3.9844e-05
66.5,-166.27,16.81,11.019,0.92542,0,0.0021189,0.0023988,8.5919e-05
66.5,-166.3,16.507,5.0176,1.2887,0,0.00096351,0.0010908,3.907e-05
66.498,-166.3,16.676,7.4093,0.82625,0,0.0014243,0.0016125,5.7754e-05
66.497,-166.3,16.756,5.4197,0.49068,0,0.0010415,0.0011791,4.2233e-05
66.499,-166.32,16.198,5.3257,4.4777,0,0.0010239,0.0011591,4.1517e-05
66.501,-166.34,15.878,13.053,1.7127,0,0.0025104,0.0028421,0.0001018
66.501,-166.36,15.512,7.949,0.054108,0,0.0015278,0.0017297,6.1951e-05
66.501,-166.38,15.197,2.7188,0.008363,0,0.00052237,0.00059139,2.1182e-05
66.5,-166.4,15.109,1.5758,1.1246,0,0.00030244,0.0003424,1.2264e-05
66.5,-166.42,15.357,0.9888,3.3073,0,0.00018984,0.00021492,7.6977e-06
66.5,-166.44,15.755,1.0358,1.5028,0,0.00019895,0.00022523,8.0671e-06
66.5,-166.46,16.162,1.9956,0.9122,0,0.00038337,0.00043402,1.5545e-05
66.5,-166.49,16.594,1.851,0.56617,0,0.00035509,0.00040201,1.4399e-05
66.5,-166.51,17.073,2.9214,1.7108,0,0.00056133,0.00063549,2.2761e-05
66.5,-166.53,17.626,4.8827,0.58396,0,0.00093742,0.0010613,3.8011e-05
66.5,-166.55,18.261,2.4505,0.33402,0,0.0004711,0.00053335,1.9103e-05
66.5,-166.57,19.069,3.9774,0.074946,0,0.00076536,0.00086648,3.1035e-05
66.5,-166.59,19.966,14.774,1.143,0,0.0028418,0.0032173,0.00011523
66.5,-166.61,21.146,3.3802,0.015495,0,0.00065075,0.00073674,2.6388e-05
66.499,-166.63,21.935,17.395,0.79975,0.0010212,0.0013391,0.0061904,0.0019485
66.499,-166.65,22.911,7.8216,0.078492,0.00045169,0.00059231,0.0027382,0.00086189
66.499,-166.67,24.021,26.128,0.045535,0.0014722,0.0019305,0.0089245,0.0028091
66.499,-166.69,24.918,226.76,0.045164,0.00050506,0.00052328,0.0024191,0.044412
66.499,-166.71,25.708,8.5088,0.012097,0.00049666,0.00065128,0.0030108,0.00094769
66.499,-166.73,26.474,6.6159,0.098534,0.0003876,0.00050827,0.0023497,0.00073959
66.499,-166.75,27.185,2.2244,0.12386,0.00013098,0.00017176,0.00079404,0.00024993
66.498,-166.78,27.843,1.415,1.3941,8.3223e-05,0.00010913,0.00050452,0.0001588
66.499,-166.8,28.507,6.3069,0.34661,0.00036259,0.00047547,0.0021981,0.00069187
66.499,-166.82,29.126,10.128,0.27715,0.00058339,0.00076502,0.0035366,0.0011132
66.499,-166.84,29.569,2.9759,0.29765,0.00017489,0.00022934,0.0010602,0.00033372
66.499,-166.86,29.946,0.96538,0.34899,5.6041e-05,7.3488e-05,0.00033973,0.00010693
66.499,-166.88,30.326,0.65603,1.9867,3.8299e-05,5.0222e-05,0.00023217,7.3079e-05
66.5,-166.9,30.678,6.4129,0.14087,0.00037783,0.00049546,0.0022905,0.00072096
66.5,-166.92,30.749,3.8864,0.098923,0.0002242,0.000294,0.0013591,0.00042781
66.5,-166.94,30.579,1.9628,0.58867,0.00011371,0.00014911,0.00068931,0.00021697
66.5,-166.96,30.48,6.1342,0.061335,0.00035272,0.00046254,0.0021383,0.00067305
66.5,-166.98,30.413,7.2958,0.57973,0.00042096,0.00055201,0.0025519,0.00080325
66.5,-167.01,30.311,5.8026,0.70387,0.00033268,0.00043625,0.0020168,0.0006348
66.5,-167.03,30.235,10.777,0.56716,0.00062126,0.00081467,0.0037662,0.0011855
66.5,-167.05,30.141,23.626,2.5199,0.0013879,0.0018199,0.0084135,0.0026482
66.5,-167.07,30.022,11.556,0.66568,0.00067319,0.00088277,0.004081,0.0012845
66.5,-167.09,29.869,32.405,0.25787,0.0018919,0.0024809,0.011469,0.00361
66.5,-167.11,29.634,37.762,0.26636,0.0021732,0.0028497,0.013174,0.0041467
66.5,-167.13,29.233,23.085,0.81083,0.0013497,0.0017699,0.0081823,0.0025755
66.5,-167.15,28.979,10.576,1.1701,0.00062303,0.000817,0.0037769,0.0011888
66.501,-167.17,28.893,5.1423,5.9104,0.00030294,0.00039725,0.0018365,0.00057805
